Rank,Country,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
17,China,中山大学,中山大学_命运的青鸟,6,445,+2(5),,,+1(23),-2,,,+1(8),,-2,+5(221),+1(18),+1(70)
18,China,南京航空航天大学,网络连接中断,6,514,+1(12),,,+1(31),-5,,-1,+1(4),,,+4(104),+4(23),+2(200)
19,China,哈尔滨工业大学,抹茶妹妹,6,533,+1(10),-8,,+1(18),,,,+1(13),,,+2(149),+1(44),+1(279)
20,China,华中师范大学,队友让我AC，我只能当灯泡,6,540,+3(38),,,+1(35),+1(86),,,+1(7),,,+1(213),+1(121),-1
21,China,浙江大学,AutoClose,6,566,+1(9),+3(250),,+1(15),,,,+1(5),-3,,+2(190),+1(37),
22,China,浙江理工大学,思睿男孩,6,649,+1(9),,,+1(37),-5,,,+1(12),,,+8(160),+1(52),+1(239)
23,China,西安交通大学,没有就空着吧,6,683,+1(12),,,+1(31),-7,,,+1(9),,,+2(297),+1(25),+2(269)
24,China,中国人民大学,拿了金牌就去谈恋爱,6,814,+2(46),,,+1(36),+1(274),,-1,+1(22),,,+1(209),+4(147),
25,China,北京航空航天大学,试炼者,6,886,+3(32),-20,,+1(46),,,,+1(19),,,+5(240),+2(135),+1(274)
26,China,北京邮电大学,银河护卫队,5,174,+2(15),,,+1(25),-5,,,+1(10),,,,+1(40),+1(64)
27,China,华南理工大学,SCUT_Ultimate_team382,5,197,+1(13),,,+1(24),,,+1(113),+1(10),,,-2,+1(37),-1
28,China,电子科技大学,UESTC_Default,5,198,+1(20),,,+1(25),-2,,,+1(8),,,-7,+1(77),+1(68)
29,China,华中科技大学,对未知用战斗演算,5,202,+1(7),,,+1(16),-4,,,+1(9),,,+2(98),+2(32),
30,China,南京理工大学,跃迁引擎,5,234,+1(5),,,+1(9),-11,,,+1(11),,-5,-5,+2(51),+2(118)
31,China,上海大学,你以为你CF过了四题,5,271,+1(7),-1,,+1(15),,,,+1(9),,,+2(107),+2(93),
32,China,郑州大学,旺仔牛奶,5,314,+1(9),,,+1(29),,,,+1(7),,,,+2(92),+1(157)
33,China,电子科技大学,UESTC_HAMSTER,5,319,+1(18),,,+1(26),-14,,,+1(8),,,,+2(49),+1(198)
34,China,北京邮电大学,波罗的海仲夏夜,5,322,+1(16),,,+1(39),-2,,,+1(8),,,-2,+2(73),+1(166)
35,China,东南大学,可持久化最小鸽,5,325,+1(8),,,+1(21),-4,,,+1(10),,,,+2(64),+1(202)
36,China,青岛大学,AC钙奶,5,350,+1(15),,,+1(41),,,,+1(10),,,-5,+1(92),+1(192)
37,China,南京大学,啦啦啦,5,358,+2(12),+2(215),,+1(25),-36,,,+1(10),,,,+1(56),
38,China,西北工业大学,铸铁成金,5,359,+1(13),,,+1(22),-17,,,+1(5),,,,+1(36),+1(283)
39,China,上海大学,无人艇,5,363,+1(14),-1,,+1(29),,,,+1(7),,,,+1(58),+1(255)
40,China,杭州电子科技大学,1e9+7,5,368,+1(21),,,+1(27),,,,+1(7),,,-1,+1(48),+3(225)
41,China,西安电子科技大学,欧阿二,5,379,+1(18),,,+1(31),,,,+1(22),,,,+1(72),+1(236)
42,China,浙江工业大学,ZJUT7,5,393,+1(13),,,+4(69),-5,,,+1(8),,,-4,+1(93),+2(130)
42,China,上海大学,三只肥宅,5,393,+1(15),,,+1(25),,,,+1(5),,,+3(234),+2(54),
44,China,哈尔滨工程大学,打铁还需自身硬,5,396,+3(39),,,+2(41),-47,,,+1(8),,,,+2(73),+2(135)
45,China,南京航空航天大学,咕^6,5,397,+1(15),,,+1(25),,,,+1(9),,,-2,+1(84),+3(224)
46,China,北京交通大学,北下关暑假集训大学,5,398,+1(29),-27,,+2(31),,,,+1(9),,,,+1(93),+1(216)
47,China,长春理工大学,潇洒鳄鱼,5,412,+1(15),,,+1(27),,,,+1(6),,,,+1(119),+1(245)
48,China,西南民族大学,SMU_青竹,5,415,+1(12),,,+1(36),,,,+1(7),,,,+2(72),+4(208)
49,China,四川大学,还是空白,5,423,+1(18),,,+1(25),-8,,,+1(7),,,+6(194),+1(79),-4
50,China,苏州大学,那咋办嘛？,5,425,+2(21),,,+1(36),-31,,,+1(14),,,,+2(59),+3(215)
51,China,东北大学秦皇岛分校,NEUQ-别码了别码了再码人要傻了,5,431,+1(14),-1,,+1(31),-1,,,+1(4),,,-3,+1(81),+3(261)
52,China,山东大学,你又摸鱼！,5,435,+1(35),,,+1(49),,,,+1(9),,,-2,+1(64),+2(258)
53,China,北京师范大学,北师二队,5,436,+1(6),,,+1(31),,,,+1(15),-5,,+2(248),+4(56),
54,China,浙江师范大学,********,5,443,+1(16),,,+2(49),,,,+1(11),,,-1,+1(66),+1(281)
55,China,东北大学秦皇岛分校,NEUQ-Team Defy,5,455,+1(14),,,+1(25),,,,+1(8),-3,,,+3(131),+2(217)
56,China,大连理工大学,过往时光,5,460,+3(56),,,+1(46),,,,+2(6),,,-6,+3(81),+2(151)
57,China,中国海洋大学,打完这场，我就回家训练,5,468,+3(40),,,+1(53),,,,+1(12),,,-2,+1(107),+2(196)
58,China,杭州电子科技大学,太空人,5,469,+1(6),,,+1(25),,,,+1(10),,,+5(298),+1(50),-4
59,China,上海理工大学,小二来两斤酱油,5,475,+1(14),,,+1(31),,,,+1(6),,,,+1(116),+2(288)
60,China,大连海事大学,^_^,5,493,+2(62),,,+1(66),,,,+1(13),,,,+1(148),+2(164)
61,China,南京大学,Pigeon Racing Cancelled,5,524,+1(9),,,+1(14),-4,,,+1(8),,,-4,+1(32),+10(281)
62,China,南京大学,题都做不,5,549,+3(24),-10,,+1(40),,,,+1(11),+2(145),,,+3(229),
63,China,哈尔滨工业大学,醋酸乙烯溶液,5,591,+1(20),,,+2(10),,,,+1(14),-3,,-2,+2(291),+3(176)
64,China,成都东软学院,喷火龙,5,601,+1(24),,,+3(49),,,,+1(4),,,,+1(189),+1(295)
65,China,河海大学,急着回家玩剑盾,5,961,+7(131),,,+2(157),,,,+1(8),,,-5,+2(206),+3(259)
66,China,中山大学,中山大学_镐块碘,4,82,+1(6),-3,,+1(23),-6,,,+1(10),-1,,,+1(43),-2
67,China,中国矿业大学,自古英雄秃少年,4,99,+1(12),,,+1(33),,,,+1(7),,,,+1(47),
68,China,重庆大学,铁匠世家,4,106,+1(16),,,+1(25),,,,+1(7),,,,+2(38),-1
69,China,同济大学,荠菜,4,107,+1(15),,,+1(24),,,,+1(8),,,-2,+1(60),
70,China,华南理工大学,SCUT_面向数据编程,4,111,+1(14),,,+1(26),,,,+1(9),,,-1,+1(62),
71,China,北京理工大学,摸鱼肥宅,4,119,+1(11),,,+1(20),-7,,,+1(8),-2,,,+2(60),-9
72,China,北京理工大学,摸牛撸猫吃火锅不胖宅,4,121,+1(15),,,+1(23),,,,+1(5),,,-4,+2(58),-1
72,China,中北大学,最菜的大白菜,4,121,+1(10),,,+1(24),,,,+1(6),,,-5,+1(81),
74,China,哈尔滨理工大学,哈理工2019秋19,4,124,+3(45),,,+1(21),,,,+1(11),,,-8,+1(7),
75,China,华南农业大学,SCAU_想吃猪脚饭,4,128,+1(16),,,+1(46),,,,+1(8),,,-1,+1(58),-3
76,China,武汉大学,三杯鸡,4,132,+1(30),,,+1(39),,,,+1(7),,,-1,+1(56),
77,China,东南大学,咸水小黄鸭,4,142,+1(11),,,+2(21),,,,+1(9),,,,+3(41),
78,China,长沙理工大学,幽兰不拿铁,4,148,+1(10),,,+1(30),,,,+1(14),-1,,-6,+3(54),
78,China,东北农业大学,开局五分钟，过题十二道,4,148,+1(16),,,+2(45),-5,,,+1(7),,,,+1(60),
80,China,浙江科技学院,喷火龙,4,149,+1(15),,,+2(43),,,,+1(11),,,-1,+1(60),
81,China,中南大学,给我也整一个,4,150,+1(21),,,+1(22),,,,+1(16),,,,+2(71),-1
82,China,大连理工大学,L,4,153,+1(19),-2,,+1(26),,,,+1(8),-3,,,+2(80),
83,China,北京交通大学,按F键进入榜一,4,156,+1(13),-11,,+1(22),-16,,,+1(8),,,,+2(93),
84,China,福州大学,巴尔韦德下课,4,160,+1(23),,,+1(59),-12,,,+1(10),,,,+1(68),-2
84,China,北京航空航天大学,我裂开了,4,160,+2(8),-1,,+1(25),-3,,,+1(11),,,,+1(96),
86,China,中国石油大学（华东）,奥利奥,4,164,+1(13),,,+1(27),-5,,,+1(11),,,,+1(113),
87,China,山东大学,虾蟆陵,4,170,+1(18),,,+1(39),-1,,,+1(10),,,-2,+3(63),
88,China,大连理工大学,烙呢,4,174,+1(24),,,+1(47),,,,+1(21),,,,+2(62),-9
89,China,中山大学,中山大学_一方通行,4,185,+1(14),,,+1(31),,,,+1(9),,,,+1(131),-7
90,China,浙江工商大学,我们一定会有女朋友的,4,188,+1(18),,,+1(31),,,,+1(5),,,-1,+1(134),
91,China,长安大学,嘤嘤嘤,4,190,+1(27),,,+2(49),,,,+1(15),,,,+1(79),-2
92,China,北京化工大学,自动猫,4,191,+1(14),,,+3(56),,,,+1(8),,,-3,+1(73),
93,China,杭州师范大学,我是叫皇,4,192,+2(37),,,+1(51),-18,,,+1(6),,,,+1(78),
94,China,辽宁大学,艾瑞莉娅,4,198,+1(20),,,+1(41),,,,+1(9),,,,+1(128),
95,China,暨南大学,辣鸡C++,4,206,+2(24),-8,,+1(34),,,,+1(7),,,,+2(101),
96,China,郑州大学,又红又专,4,215,+1(14),,,+2(32),,,,+1(9),,,,+2(120),-3
97,China,天津工业大学,人行道上不是很宽敞吗?开车!,4,225,+1(22),,,+1(33),,,,+1(11),,,-1,+3(119),
98,China,大连海事大学,脸滚键盘,4,230,+1(55),,,+2(53),-4,,,+1(3),,,,+2(79),
98,China,南方科技大学,南方科技大学_兹沃勒,4,230,+1(24),,,+1(54),,,,+1(8),,,-15,+2(124),
100,China,山东大学,没过不亏AC血赚,4,236,+1(16),,,+1(28),,,,+1(9),,,-1,+3(143),-2
101,China,天津大学,年少有为不AK,4,237,+2(33),,,+1(51),,,,+1(10),,,,+2(103),-3
102,China,东北农业大学,毋须三人，一人即可坐断钢筋,4,239,+1(18),,,+1(52),,,,+1(7),,,,+1(162),-4
103,China,杭州师范大学,Sharp_cone,4,243,+1(32),-2,,+2(85),,,,+1(6),,,,+2(80),
103,China,中国石油大学（华东）,先定一个小目标,4,243,+1(19),,,+2(43),-15,,,+1(11),,,,+2(130),
105,China,青岛大学,完全欧基霸可,4,244,+1(14),,,+2(36),,,,+1(5),,,,+4(109),-4
106,China,江南大学,WFT,4,250,+1(71),,,+1(59),,,,+1(12),,,-1,+2(88),-3
107,China,广东工业大学,猪猪冲冲冲,4,267,+2(51),,,+1(66),-2,,,+1(29),,,,+1(101),
