Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
77,73,大连海事大学,Aleatory Acceptism of Encounter,2,278,-,-,-,-,-,-,-,+2(12),-,+4(186),-,-,66%,Bronze,任品豪,梅宇涵,石俊锋,Zhiying Cao ,N,N
78,74,安徽师范大学,Haibara Ai is Correct,2,279,-,-,-,-,-,-,-,+1(10),-,-3,+4(209),-,60%,Bronze,许居尚,高翔,火天宝,Chuanxin Zhao ,N,N
79,75,北京师范大学香港浸会大学联合国际学院,Accepted by HKUST,2,282,-,-,-,-,-,-,-,+2(24),-,-2,+2(218),-,50%,Honorable,倪方博,赵泽峰,王孟涵,Jiaxing Chen ,N,N
80,76,广东工业大学,GDUT_darkseek,2,303,-,-,-,-,-,-,-,+1(15),-,+4(228),-3,-,60%,Honorable,谭一峰,蔡鋈,赖国华,Mingkai Tang ,N,N
81,77,华南农业大学,3 ap = 1band = 1 life?,2,306,-1,-,-,-,-,-,-,+1(15),-,-1,+4(231),-,60%,Honorable,谭伟杰,颜乾彪,陈钢,Xudong Lin ,N,N
82,78,合肥工业大学宣城校区,Naming is so HARD!,2,333,-,-,-,-,-,-,-,+1(5),-,-8,+6(228),-,71%,Honorable,冯舶钊,于鸥鹿,马久贺,Junwei Lyu ,N,N
83,79,黑龙江大学,Elite Conscripts,2,339,-,-,-,-,-,-,-,+2(12),-,-2,+5(227),-,71%,Honorable,何恩培,信自强,魏全宏,Hui Xu ,N,N
84,80,广东技术师范大学,GPNU-Awei,2,351,-,-,-,-,-,-,-,+1(11),-,-5,+7(220),-,75%,Honorable,黄宇凡,李苇森,陈政柱,Lan Liu ,N,N
85,81,深圳技术大学,SZTU_developer,2,377,-,-,-,-,-,-,-,+1(12),-,+5(285),-2,-,66%,Honorable,王正,张家乐,许榕鑫,Yundi Guo ,N,N
86,82,华南师范大学,All the way south,2,379,-,-,-,-,-,-,-,+1(10),-,-6,+7(249),-,75%,Honorable,于昊炜,朱宬华,曾祥康,Jun Liang ,N,N
87,83,华北理工大学,No-Panic Doubao Pro,2,380,-,-,-,-,-,-,-,+1(13),-,+7(247),-2,-,75%,Honorable,Yanqian Chen,Yuning Chen,丰文政,Hongcan Yan ,N,N
88,84,西华大学,XiXi,2,388,-,-,-,-,-,-,-,+1(10),-,-7,+6(278),-,71%,Honorable,石浩楠,吴岚轩,刘馨阳,Honghong Chen ,N,N
89,85,华中科技大学,Aren't Slacking Off,2,410,-,-7,-,-,-,-,-,+1(12),-,+7(278),-5,-,75%,Honorable,郭际泽,李凌凯,赵佳义,Kun He ,N,N
90,86,天津工业大学,Greedy is all about guessing,1,9,-,-,-,-,-,-,-,+1(9),-,-3,-5,-,0%,Honorable,韩奕霖,吴一凡,姚盛源,Shuxia Ren ,N,N
90,86,浙江师范大学,Untitled_Dream,1,9,-,-,-,-,-,-,-,+1(9),-,-9,-1,-,0%,Honorable,杨琳,沈睿,曹海,Jianmin Han ,N,N
92,88,长江大学,Dawn,1,10,-,-1,-,-,-,-,-,+1(10),-,-1,-5,-,0%,Honorable,纪方嘉,童炎,任文,Yanrong Cui ,N,N
92,88,香港浸会大学,UU Accelerator,1,10,-,-,-,-,-,-,-,+1(10),-,-12,-2,-,0%,Honorable,张旭景,印无忧,姜蒙,Xin Huang ,N,N
94,90,重庆邮电大学,Array of Cqupt Monkeys,1,11,-,-,-,-,-,-,-,+1(11),-,-,-7,-,0%,Honorable,冯禹杰,林新雨,汪炜杰,Jingbo Xie ,N,N
94,90,山东大学,Icecream!,1,11,-,-,-,-,-,-,-,+1(11),-,-7,-5,-,0%,Honorable,毛洋洋,刘少卿,侯佳昊,Xuefeng Cui ,N,N
94,90,中北大学,Just AC,1,11,-,-,-,-,-,-,-,+1(11),-,-,-10,-,0%,Honorable,刘灿阳,谭炯豪,陈文博,Guangzhen Pan ,N,N
94,90,上海纽约大学,NYU Shanghai Team 2,1,11,-,-,-,-,-,-,-,+1(11),-,-2,-5,-,0%,Honorable,张书恺,许诗栋,Yuhang Hou,Xianbin Gu ,N,N
94,90,广东东软学院,noircloud,1,11,-,-,-,-,-,-,-,+1(11),-,-2,-9,-,0%,Honorable,朱梓瀚,黄琳峰,黄炜填,Chao Yang ,N,N
