Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
163,厦门大学,Newborns,2,353,+4(32),,-9,,,,,,,+2(241),,
164,哈尔滨工程大学,XYXYX,2,376,+5(127),,,,,,,,,+2(149),,
165,北华大学,BHU Sail,2,396,+3(39),,+5(237),,,,,,,-15,,
166,肇庆学院,ZQU_ManchesterCityFC,2,418,+1(20),,-2,,,,,,,+6(298),,
167,华中师范大学,Who care,2,460,+1(23),,-2,-4,,,,,,+9(277),,
168,东北大学秦皇岛分校,NEUQer_4,1,20,+1(20),,,,,,,,,-6,,
169,暨南大学,MD_Aky,1,21,+1(21),-1,,,,,,,,-1,,
170,中国人民解放军陆军工程大学,Army Girls,1,23,+1(23),,,,-4,,,,,-1,,
171,南昌航空大学,Dreamers,1,24,+1(24),-5,,,,,,,,-1,,
172,重庆邮电大学,Nine lamas love to play cool,1,25,+1(25),,,,,,,,,-6,,
172,桂林电子科技大学,Winner winner，chicken dinner,1,25,+1(25),-1,-2,,,,,,,-10,,
174,闽南师范大学,Pipi shrimp-,1,39,+2(19),,-4,,,,,,,-11,-2,
175,南京信息工程大学,Computer must be right,1,53,+1(53),-3,-2,,,,,,,-4,,
176,内蒙古师范大学,imnu3,1,66,+2(46),-1,,,,,,,,-5,,-1
177,河南大学,enemy is legendary,1,88,+3(48),,-4,,,,,,,-3,-2,
178,哈尔滨理工大学,HRBUST06,1,100,+3(60),,,,,,,,,,,
179,江西财经大学（信息管理学院）,on the way,1,130,+1(130),,-2,,,,,,,-2,,
180,成都信息工程大学,Call of Silence,1,156,+4(96),,,,,,,,,-7,,
181,东北大学秦皇岛分校,NEUQer_3,1,245,+5(165),,,,,,,,,-4,,
182,乐山师范学院,burlesques,0,0,-6,,-1,,,,,,,,,
182,南昌理工学院,XNY360,0,0,-5,,-2,,,,,,,,,
