Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
80,西北工业大学,秦岭小队,2,188,-,-,+1(156),-,-,-,-4,-,-,+1(32),-,-,-
80,长春理工大学,幻想乡乐园,2,188,-,-,+1(160),-,-,-,-5,-,-,+1(28),-,-1,-
82,吉林大学,天降正啊!,2,189,-,-,+2(153),-,-,-,-,-,-,+1(16),-,-11,-
83,大连理工大学,扶我起来还能A,2,190,-,-,+3(124),-,-,-,-1,-,-,+1(26),-,-9,-
84,中北大学,富贵在天,2,195,-,-,+1(152),-,-,-,-,-,-,+1(43),-,-3,-
85,西北大学,隐隐作秀,2,196,-,-,+1(143),-,-,-,-9,-,-,+1(53),-,-,-
86,重庆大学,楼上请让一让,2,199,-,-,+2(121),-,-,-,-3,-,-,+2(38),-,-,-
87,西北工业大学,打铁侠,2,208,-,-,+2(139),-,-,-,-,-,-,+1(49),-,-,-
88,西南科技大学,海尔兄弟,2,211,-,-,+2(168),-,-,-,-2,-,-,+1(23),-,-,-
89,长沙理工大学,奥利奥,2,212,-1,-,+1(174),-,-,-,-1,-,-,+1(38),-1,-,-
89,西安理工大学,幻想乡的wa之神社,2,212,-,-,+1(172),-,-,-,-,-,-,+1(40),-2,-,-
89,中国石油大学（华东）,三个小机灵鬼儿,2,212,-,-,+1(115),-,-,-,-1,-,-,+3(57),-,-7,-
