Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
106,,City University of Hong Kong,eeverest,2,211,-5,,,,,,,+2(39),,,+4(92),
107,,City University of Hong Kong,Grilled Chicken Buger,2,230,,,,,,-1,,+3(17),,,+4(113),
108,,University of Macau,VegDog,2,240,-9,,,,,,,+1(24),,,+7(96),-1
109,,Shanghai Maritime University,SAO:WA online,2,254,-2,,,,,,,+1(32),,,+4(162),-1
110,,South China Normal University,NB,2,387,-9,,,,,,,+2(87),,,+5(200),
111,,South China Normal University,Publicly - Funded Tourists,2,463,-3,,,,,,,+4(117),,,+6(186),
112,,Shanghai Normal University,SHNU_SleepForever,1,41,-3,,,,,,,+1(41),,,-18,
113,,Shanghai Maritime University,Zero to one,1,56,-1,,,,-1,,,+1(56),,,-1,
114,,Zhejiang Gongshang University,Who care,1,151,-1,,,,,,,-12,,,+2(131),
115,,Hong Kong Baptist University,HKBU-T2,0,0,,,,,,,,-4,,,-4,-1
