Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach,A,B,C,D,E,F,G,H,I,J
157,东北农业大学,刷酱饼,2,143,Honorable,谢智勇,王冠,孙康菊,李晓明,,+2(18),+1(105),,,,-14,,,
158,重庆邮电大学,可以队,2,146,Honorable,梁炬鸿,马浩,钟明翰,甘玲,,+2(12),+1(113),,,,-16,,,
159,重庆邮电大学,已经没有什么好害怕的了,2,147,Honorable,官蜀清,刘茜,周星宇,甘玲,,+2(14),+2(93),,,,-82,,,
160,山东科技大学,光明号,2,152,Honorable,梁天心,上官祥正,邱鹏,吴振寰,,+2(24),+2(88),,,,-20,,,
161,中北大学,三人黑铁旷工,2,159,Honorable,肖龙,周枭棠,王永胜,潘广贞,,+3(14),+1(104),,,,-31,,,
162,哈尔滨理工大学,哈理工13队,2,170,Honorable,李金澎,吕思浓,魏敦豪,金恩海,,+2(16),+1(133),,,,-37,,,
163,南阳理工学院,皮杰猪,2,173,Honorable,张松超,朱成锐,潘坤,靳冰,,+2(27),+3(86),,,,-34,,,
164,北京化工大学,大佬们别虐我,2,173,Honorable,洪颐鼎,庞有鑫,王鑫,尤枫,,+1(24),+2(129),,,,-20,,,
165,湖南理工学院,一点寒光万丈芒,2,174,Honorable,高座栋,谢平福,王润虎,李文彬,,+1(3),+3(130),,,,-20,,,
166,哈尔滨理工大学,哈理工26队,2,180,Honorable,谢子华,王兴,杨旭,于波,,+1(14),+3(126),,,,-12,,,
167,吉首大学,喵星幼儿园,2,181,Honorable,廖嘉琪,曾诚,雷亮,石俊萍,,+1(15),+3(126),,,,-9,,,
168,常州大学,转发这个杨超越在你前面的人都会biu的一下消失,2,181,Honorable,黄志鑫,周倜,戚晔,林逸峰,,+5(19),+2(62),,,,-16,,-2,
169,深圳大学,爆零,2,185,Honorable,何嘉键,陈培豪,廖竞,张小健,,+4(29),+2(75),,,,-15,,,
170,大连理工大学,菜鸡互啄,2,185,Honorable,霍晨,梁家豪,吕嘉庆,梁冰,-8,+3(19),+2(106),,,,-9,,,
171,电子科技大学,UESTC_Myall,2,191,Honorable,袁海韵,孙宏源,金琪铠,杨鹏,,+1(15),+2(156),,,,-13,,,
172,南阳理工学院,自由之翼,2,197,Honorable,聂海隆,张晓阳,直庆伟,赵东江,,+3(45),+1(112),,,,,,,
173,中国石油大学（北京）,祖国盛开石油花,2,197,Honorable,陈哲,季来虎,王智健,范江波,,+3(16),+3(100),,,,-18,,,
174,武汉工程大学,黄龙山男子职业技术学院到此一游,2,203,Honorable,熊芯怡,刘一麟,刘子涵,陈灯,,+2(28),+2(135),,,,-10,,-19,
175,华南农业大学,scau_斟茶俾大佬,2,204,Honorable,黄诗诗,林晓玲,赵家怡,刘财兴,,+4(23),+1(120),,,,-17,,,
176,湖南科技大学,桐剑黑,2,204,Honorable,孙庞博,汤越凡,董亮作,陈燕晖,,+3(39),+2(105),,,,-19,,,
177,上海第二工业大学,老谈酸玥蛋蛋牛肉面,2,204,Honorable,谈云林,王诗玥,石其伟,蒋文蓉,,+2(21),+3(123),,,,-10,,,
178,北华大学,我思故我在,2,205,Honorable,林倩,欧阳隆,张丰,鲁静轩,,+1(37),+1(168),,,,-6,,-2,
179,河北工业大学,编码吧兄弟,2,205,Honorable,何军,刘培超,解孟轩,侯向丹,,+4(27),+1(118),,,,-11,,,
180,南京理工大学,维他柠檬茶,2,212,Honorable,任建,沙昊,韩小豪,余立功,,+1(8),+4(144),,,,-18,,-4,
181,湖南工业大学,队友说这题能A,2,217,Honorable,杨爽,夏涛,王振帆,彭成,,+4(37),+2(99),,,,-13,,,
182,南华大学,C.C.C.P@USC,2,218,Honorable,吴子灏,谢贤定,黄小桐,刘杰,,+1(13),+5(124),,,,-13,,,
183,中南大学,楼上名字不错,2,220,Honorable,周锐,刘平,罗泰帅,冯启龙,,+2(34),+4(106),,,,-11,,,
184,西南石油大学,增加获奖名额,2,222,Honorable,周易之,潘超凡,唐国根,郝晓玲,,+2(27),+1(174),,,,-6,,,
185,浙江财经大学,通往天国的倒计时,2,225,Honorable,房麒麟,辛金文,严世超,陈琰宏,,+3(21),+3(124),,,,-14,,,
186,北华大学,和班尼特福迪一起攻克难关,2,228,Honorable,高亓,柴银磊,秦鹏,曹洪宇,,+5(42),+1(106),,,,-7,,,
187,杭州师范大学,奇迹,2,231,Honorable,曹健,顾佳炜,蔡百容,单振宇,,+5(25),+1(125),,,,-16,,,
188,哈尔滨工程大学,喵喵喵,2,231,Honorable,魏牧远,刘奕然,张嘉伟,国林,,+3(21),+3(129),,,,-24,,,
189,湘潭大学,真香,2,232,Honorable,谭清,陈智超,贺强,谢勇,,+2(77),+1(135),,,,-7,,,
190,山东理工大学,红鲤驴与绿旅驴,2,236,Honorable,张峰,陶鑫灿,史顺晓,王海鹏,,+2(25),+2(170),,,,-12,,,
191,中北大学,虽千万人吾往矣,2,237,Honorable,陈权威,富文杰,肖志文,潘广贞,,+3(27),+4(109),,,,-25,,,
192,广东外语外贸大学,我对男人过敏,2,238,Honorable,林泽聪,潘明俊,林冠权,郑琪,,+2(14),+3(163),,,,-15,,,
193,江南大学,Timi,2,238,Honorable,陈朝潮,王烟波,朱雨南,蒋敏,,+1(9),+5(149),,,,-8,,,
194,江南大学,天晨破晓,2,247,Honorable,凌晓,乔天池,王晨妮,蒋敏,-4,+1(55),+1(192),,,,-8,,,
195,南京航空航天大学,我们是没有感情的ACM杀手,2,251,Honorable,王力,张宗杰,周昊冉,邹春然,,+2(15),+5(135),,,,-15,,,
196,燕山大学,塔山小树林,2,262,Honorable,杨靖航,龚昊,赵文瑞,穆运峰,,+1(41),+5(140),,,,-14,,,
197,安徽科技学院,安科一队,2,263,Honorable,计爱玲,刘欢,时涛涛,赵靖,,+4(39),+3(123),,,,-10,,,
198,暨南大学,刷一题就走,2,265,Honorable,徐锶浩,林越,林凯通,张震,,+3(31),+3(154),,,,-8,,,
199,江西理工大学,Miss,2,268,Honorable,喻明,陈梓豪,胡昕鑫,陈木生,,+4(80),+1(127),,,,-12,,,
200,北京林业大学,小跳蛙,2,272,Honorable,王鑫源,李子霂,梅浩,徐艳艳,,+2(27),+4(164),,,,-14,,,
201,长沙理工大学,先AC题呗,2,275,Honorable,廖彦翔,向婷,王逸峰,章登勇,,+3(30),+5(125),,,,-10,,,
202,中北大学,铁人三个,2,279,Honorable,李一飞,宋炜,刘倩文,潘广贞,,+1(21),+4(197),,,,-3,,,
203,河北师范大学,扶我起来我还能AC,2,280,Honorable,李胜鹏,杨子旭,顾凯峰,丁盟,,+7(65),+1(94),,,,-10,,,
204,河北大学,河北大学英才一队,2,280,Honorable,张轶楠,卢泷瑾,李烁,谢博鋆,,+3(39),+2(181),,,,-5,,,
205,长春工业大学,无声,2,286,Honorable,任义,许奇珮,苗娟涓,周丽娟,,+6(48),+2(117),,,,-11,,,
206,福建师范大学,嘤嘤嘤,2,308,Honorable,陈斌,曾佳炜,郑晓栋,吴闻,,+5(64),+1(163),,,,-5,,,
207,南昌大学,听说你的名字很迷(),2,312,Honorable,姚煦然,胡煜鑫,杜云箫,于海雯,,+2(21),+7(151),,,,-11,,,
208,北华大学,A,2,325,Honorable,叶泽权,朱硕成,关则迎,张玲玲,,+3(30),+2(235),,,,-5,,,
209,武汉大学,吃瓜围观群众,2,334,Honorable,底兴,刘江湖,李凌志,董文永,,+2(32),+4(221),,,,,,,
210,桂林电子科技大学,秦皇岛外打鱼船,2,370,Honorable,王志通,郑元昆,章小兵,王文翰,,+3(32),+5(218),,,,-3,,,
