Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
154,,南京理工大学,你有这时间翻队名不是再能a两道题,3,773,张悦熠,何丰辰,王一萌,Bronze,N,N,,,,+2(216),,+4(288),,,,,+2(168),,
155,94,北京理工大学,阿夸滑滑蛋喝冰红茶,3,777,李嘉政,李轩宇,彭程,Bronze,N,N,+2(227),,,-14,,+18(109),,,,,+2(61),,
156,,泉州师范学院,AC再爱我亿次,3,788,陈佳乐,施维康,张自力,Bronze,N,N,,,,+11(273),,+4(191),,,,,+2(43),,
157,95,中南大学,我们去昆明吃什么,3,796,许宸哲,郑逸程,霍旭洋,Bronze,N,N,,,,+4(254),,+5(220),,,,,+5(101),,
158,,南京大学,菜根队,3,810,贺柄毓,柴浩天,陈荣锴,Bronze,N,N,-2,,,+2(240),,+2(196),,,,,+7(213),,
159,,吉林大学,代码搬运工,3,829,侯德亮,无,无,Bronze,N,N,,,,+9(235),,+1(264),,,,,+6(69),,
160,96,厦门大学,柳下桃蹊,3,832,韩可可,黄凯佳,黄勖,Bronze,N,N,-1,+1(198),,,,+14(299),,,,,+2(54),,
161,97,华中科技大学,偏远小山村传统弱校,3,842,李根,陈贤坤,陈开宇,Bronze,N,N,,,,+1(169),,+11(240),,,,,+6(132),,
162,,南京大学,还没想好叫什么,3,858,王恺予,张乃仁,王锦朋,Bronze,N,N,+4(297),,,,,+14(168),,,,,+2(51),,
163,,山东师范大学,浩然今天吃了么,3,869,王位毅,李明阳,聂晓阳,Bronze,N,N,,,,+16(290),,+5(138),,,,,+1(60),,
164,98,北京邮电大学,六目相对,3,870,崔家瑞,崔芳洲,罗毅锐,Bronze,N,N,,,,+2(247),,+12(293),,,,,+3(49),,
165,,上海理工大学,面向样例编程,3,890,李明懿,韩昱川,无,Bronze,N,N,,,,+2(234),,+11(296),,,,,+3(99),,
166,,重庆邮电大学,怎么会是呢,3,898,江骏扬,罗昊,康德,Bronze,N,N,,-3,,+5(223),,+13(279),,,,,+1(75),,
167,99,武汉工程大学,真的有人学了几年还在打铁吗？,3,905,刘超,黎永琪,刘宣萱,Bronze,N,N,,,,+3(240),,+11(283),,,,,+4(81),,
