Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
229,西安理工大学,郑郑郑郑郑学长说取队名什么的都是迷信/240/B96,4,531,+2(41),-,+3(287),-,-,-,-,-,-,-5,+1(120),-4,+1(23)
230,西南民族大学,时间风暴/251/D11,4,537,+1(33),-,-,-,-,-,-,-,-,-3,+1(70),+7(273),+2(21)
231,福州大学,我不会AVL/80/A95,4,542,+1(25),-,+2(218),-,-,-3,-,-,-,-,+5(145),-,+1(54)
232,浙江工商大学,浙江工商大学/272/C13,4,556,+2(72),-5,+1(246),-,-,-,-,-,-,-,+1(128),-6,+4(30)
233,河南理工大学,信仰之跃/116/B81,4,557,+1(39),-,-2,-,-,-,-,-,-,-5,+3(117),+2(292),+1(49)
234,浙江大学宁波理工学院,晨星/270/B51,4,558,+3(38),+4(293),-1,-,-,-,-,-,-,-2,+2(74),-,+1(33)
235,哈尔滨理工大学,哈理工02队/97/E54,4,559,+4(66),+1(244),-1,-,-,-,-,-,-,-3,+1(111),-,+1(78)
236,黑龙江大学,四六级必过/119/E101,4,566,+5(53),-,-,-,-,-,-,-,-,+2(190),+3(106),-,+2(57)
237,武汉科技大学,次个糖，冷静一下/231/D72,4,571,+3(52),-,-,-,-,-,-,-,-,-5,+1(98),+3(288),+2(33)
238,南开大学,nku馄饨应援团/176/D45,4,592,+4(46),-,-,-,-,-5,-,-,-,-,+3(153),+2(238),+1(35)
239,江西财经大学,JXUFE_种花家的老酱菜/151/F64,4,604,+1(66),-,-,-,-,-,-,-,-,+7(284),+1(97),-4,+2(17)
240,长春理工大学,萝莉保护协会/38/F65,4,606,+2(22),-,-,-,-,-,-,-,-,+11(234),+1(88),-,+1(42)
241,上海大学,时梭者/204/C71,4,619,+2(34),-,-,-,-,-8,-,-,-,+10(271),+2(74),-5,+1(20)
242,浙江理工大学,德鲁大叔/279/C35,4,623,+1(27),-2,-1,-,-,-,-,-,-,-1,+1(58),+12(292),+1(26)
243,西安邮电大学,思泰奇/242/E104,4,659,+4(190),-,-2,-,-,-,-,-,-,-1,+2(121),+2(233),+1(15)
244,东华大学,碧蓝幻想/63/F32,4,665,+5(55),-,-1,-,-,-,-,-,-,+2(264),+4(129),-2,+2(37)
245,安徽大学,思考熊/1/A42,4,706,+6(118),-,-6,-,-,-,-,-,-,-,+1(101),+6(259),+1(28)
246,江南大学,三只小学生/149/B71,4,782,+2(18),+5(295),-1,-,-,-,-,-,-,-,+5(241),-,+2(28)
247,西南科技大学,晏队/249/E62,4,1130,+3(111),-,-,-,-,-,-,-,-,+22(298),+1(182),-,+2(59)
248,深圳大学,喵帕斯/215/F102,3,81,+1(16),-3,-2,-,-,-,-,-,-,-2,+1(54),-3,+1(11)
249,山东大学,知道错了没/191/A54,3,108,+2(23),-4,-,-,-,-,-,-7,-,-1,+1(45),-2,+1(20)
250,天津大学,TJU_master_driver/221/A82,3,121,+1(14),-7,-,-,-,-,-,-,-,-,+2(68),-3,+1(19)
251,福建师范大学,故地重游/75/E83,3,125,+1(13),-,-,-,-,-,-,-,-,-2,+1(85),-5,+1(27)
252,杭州电子科技大学信息工程学院,没有什么意义/105/D96,3,133,+1(21),-,-1,-,-,-,-,-,-,-14,+2(62),-,+1(30)
253,广东工业大学,燃烧军团/85/D74,3,138,+1(21),-,-,-,-,-,-,-,-,-6,+1(82),-1,+1(35)
254,成都信息工程大学,请以上女装大佬上台领奖/43/D73,3,145,+1(17),-4,-,-,-,-,-,-,-,-6,+1(84),-1,+1(44)
255,上海大学,魔蛙/202/B33,3,149,+2(25),-3,-,-,-,-,-,-,-,-,+1(72),-,+1(32)
256,上海大学,一柱擎天/206/D65,3,153,+2(38),-5,-,-,-,-,-,-,-,-2,+1(72),-1,+1(23)
257,中国石油大学（华东）,泰拳警告/315/C82,3,154,+2(24),-7,-,-,-,-,-,-,-,-8,+1(75),-,+1(35)
258,浙江农林大学,我们都是小怪兽，有一天会被正义的奥特曼杀死/282/C74,3,160,+1(16),-3,-,-,-,-,-,-,-,-,+3(76),-,+1(28)
259,东北大学,多喝热水/55/E96,3,162,+1(78),-1,-,-,-,-,-,-1,-,-3,+1(58),-,+1(26)
260,长春工业大学,露娜拿蓝难不难/37/E53,3,170,+2(28),-,-1,-,-,-,-,-,-,-2,+1(80),-3,+1(42)
261,中国人民大学,基本法/307/B32,3,171,+1(28),-2,-,-,-,-7,-,-2,-,-,+2(87),-,+1(36)
262,武汉科技大学,这些人有女朋友么(女队)/233/F74,3,178,+2(27),-3,-,-,-,-,-,-1,-,-,+1(106),-,+1(25)
262,东华大学,五点共圆/67/E92,3,178,+1(55),-,-,-,-,-,-,-,-,-1,+1(105),-,+1(18)
264,哈尔滨理工大学,哈理工04队/98/D64,3,185,+1(37),-,-,-,-,-,-,-,-,-2,+2(95),-4,+1(33)
265,中国地质大学（北京）,银狼/294/F11,3,197,+1(40),-5,-,-,-,-,-,-,-,-,+2(94),-,+2(23)
265,中国地质大学（武汉）,阿兰•图灵/295/B35,3,197,+2(27),-,-2,-,-,-,-,-,-,-,+1(107),-12,+1(43)
267,中山大学新华学院,动人旋律/325/F82,3,203,+1(46),-,-,-,-,-,-,-,-,-5,+1(124),-1,+1(33)
268,南京邮电大学,沉迷打铁不能自拔(女队)/172/B74,3,209,+3(32),-,-3,-,-,-,-,-,-,-5,+1(96),-,+1(41)
269,河南大学,上邪/114/D85,3,211,+1(46),-1,-,-,-,-,-,-,-,-1,+1(75),-15,+3(50)
