Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
94,59,山东大学,不万元申万的,5,651,-,-,-,-,-,+2(189),+1(10),-,+1(184),+2(160),-,+2(48),-,37%,Silver,彭麟翔,荆昱熹,张讯,N,N
95,60,河北师范大学,可燃冰红茶,5,656,-,+4(271),-,-,-,+3(141),+1(8),-,-4,+1(79),-,+2(37),-,54%,Silver,孙传炜,向清弘,李武,N,N
96,,浙江理工大学,2434分fantasy_blue带我飞,5,662,-,-6,-,-,-,+2(193),+1(6),-,+5(233),+1(77),-,+2(33),-,54%,Silver,张浩,项帅,干佳立,N,N
97,61,苏州大学,RE 手动机,5,663,-,-,-,-,-,+1(85),+1(11),-,+5(247),+1(198),-,+1(42),-,44%,Silver,沈杨卓凡,刘昕宇,陈顾漪,N,N
98,,武汉大学,WHITE ACM2 ~code~,5,666,-,-,-,-,-,+2(274),+1(8),-,+1(99),+2(158),-,+2(67),-,37%,Silver,魏俊涛,戴天奕,杨锦熙,N,N
99,62,莆田学院,口胡金牌题,5,669,-,-,-,-,-,+4(183),+1(7),-,+3(259),+1(79),-,+1(41),-,50%,Silver,许庆华,龚磊,黄佳威,N,N
100,,成都信息工程大学,冰冷帝企鹅,5,673,-,-6,-,-,-,+2(172),+1(4),-,+5(225),+2(121),-,+1(31),-,54%,Silver,林莫豪,秦朝超,刘雨葳,N,N
101,63,电子科技大学中山学院,随便做都队,5,676,-,-,-,-,-,+1(216),+1(8),-,+1(234),+1(131),-,+3(47),-,28%,Silver,赵英炜,黄潇岳,程旭,N,N
102,,浙江大学,快整点大英五,5,682,-,+5(203),-,-,-,+1(161),+1(8),-,-12,+1(134),-,+1(96),-,44%,Silver,李沐阳,林滨,陈奕翔,N,N
103,,电子科技大学,UESTC_______,5,689,-,-4,-,-,-,+4(87),+2(8),-,+5(252),+1(124),-,+1(58),-,61%,Silver,赵聪,吕东阳,林子豪,N,N
104,,重庆邮电大学,蓝桥杯喵之队,5,689,-,-,-,-,-,+1(176),+1(7),-,+5(272),+1(118),-,+1(36),-,44%,Silver,朱易轩,李悦,陈楷文,N,N
105,64,广东工业大学,循序渐进,5,695,-,-,-,-,-,+1(206),+1(8),-,+1(161),+2(171),-,+2(109),-1,28%,Silver,郭敏哲,邱启涵,钟敦复,N,N
106,,西安交通大学,不知道起什么就不起了吧,5,698,-,-,-,-,-,+1(192),+1(7),-,+2(200),+1(121),-,+4(98),-,44%,Silver,王皓文,李维逸,陈智,N,N
107,65,三峡大学,WA无涯，AC是岸,5,700,-,-,-,-,-,+1(271),+2(11),-,+1(120),+1(190),-,+2(68),-,28%,Silver,吴世恺,冯成宽,吴潇,N,N
108,66,长沙学院,我不写dp,5,718,-,-,-,-,-,+3(172),+1(4),-,+3(299),+1(97),-,+2(46),-,50%,Silver,张方林,曾俊,杨李兵,N,N
109,,西安电子科技大学,GXB，我们喜欢你,5,719,-,-1,-,-,-,+2(228),+2(6),-,+3(116),+1(179),-,+4(50),-,58%,Silver,洪怀博,邓思哲,陈奕玮,N,N
110,67,武汉科技大学,赤色风铃,5,723,-,-,-,-,-,+2(225),+1(6),-,+1(263),+1(104),-,+3(65),-,37%,Silver,明正阳,左新宇,王宇杰,N,N
111,68,成都理工大学,我嘞个豆豆啊,5,723,-,-,-,-,-,+1(225),+1(6),-,+1(268),+2(142),-,+1(62),-,16%,Silver,向坪君,陈家宝,张晨瑀,N,N
112,,山东大学,AC是检验真理的唯一标准,5,726,-,-,-,-,-,+3(246),+2(10),-,+1(214),+1(76),-,+2(100),-,44%,Silver,庞绍旗,罗浩铭,林怡炜,N,N
