Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
210,电子科技大学中山学院,做到out晒头 (CDZSC_ Scratch_Head ),3,264,+1(0),,,,,+1(20),,,,+5(164),,-1,
211,常州大学,树莓派 (RaspberryPi ),3,285,+1(19),,,,,+1(27),,,-1,-6,,+4(179),
212,北京林业大学,流星一条 (stella ),3,300,+1(2),,,,,+1(26),,,,+5(192),,,
213,宁波大学,一水多年 (water water more health ),3,328,+1(3),,,,,+2(59),,,,+3(206),,,
214,南京邮电大学,谁来治一下我的强迫症 (NJUPT_OcdPatients ),3,337,+1(9),,,,,+3(91),,,,+1(197),,,
215,集美大学,啦啦队 (Cheerleaders ),3,350,+1(0),,,,,+2(45),,,,+5(205),,-1,
216,广西大学,专业划水 (xian yu ),3,434,+2(23),,,,,+1(89),,,,+4(242),,,
217,河南理工大学,印记 (Shirushi ),3,520,+1(5),,,,,+1(276),,,,+4(179),,,-1
218,华南农业大学,以上队伍成绩无效 (SCAU_YSDWCJWX ),2,22,+1(6),,,,,+1(16),,-3,,-2,,,-2
219,香港城市大学,EE大法好，AC每一天 (EECityU_AC++_Zone ),2,66,+1(4),,,,,+2(42),,,,-2,,,-1
220,长春工业大学,你们都是妖怪吧 (UMR ),2,136,+2(19),,,,,+3(57),,,,,,,
221,桂林电子科技大学,小鲁班 (smart and fat boy ),2,193,+1(9),,,,,+3(144),,,,-2,,-2,
222,上海第二工业大学,炙热沙城 (SSPU-New Dust 2 ),2,227,+1(14),,,,,+1(213),,,,-2,,,
223,浙江农林大学,铁头娃 (domintator ),2,250,+1(8),,,,,+2(222),,,,-2,,,
224,内蒙古工业大学,拿铜当场就跳Panama (bi~bi~old card ),2,260,+1(9),,,,,,,,,+3(211),,,
225,广西民族大学,火柴人 (Matchstick Men ),2,682,+6(284),,,,,+1(298),,,,,,,
226,东北大学秦皇岛分校,如果我是DJ你会爱我吗 (DJ.N ),1,0,+1(0),,,,,-3,,,,-3,,-2,
227,湖南工业大学,追踪小鸡 (Autobomb ),1,3,+1(3),,,,,,,,,,,-2,
228,金策工业综合大学,KUT_Master (KUT_Master ),0,0,,,,,,,,,,,,,
