Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
218,Zhejiang A & F University,爱吃馍馍 (AiChiMomo),3,396,-,-,-,+1(15),-,+4(219),-,-,-,-,-,+3(62)
219,Henan University,菜鸡三人行 (Four Angry Men),3,405,-,-,-,+1(10),-,+1(295),-,-,-,-,-,+3(60)
220,Zhejiang University of Technology,公理 (Axiom),3,407,-,-,-,+1(10),-,+5(238),-,-,-,-,-,+2(59)
221,Taizhou University,梦里AC (AC in a dream),3,409,-,-,-,+1(16),-,+3(171),-,-,-2,-,-,+3(142)
222,Northeast Forestry University,有何贵干 (youheguigan),3,414,-,-,-,+1(12),-,+4(271),-,-,-4,-,-,+2(51)
223,ShanghaiTech University,云之彼端·梦中降生 (KUMONOMUKÔ_BIRTHBYSLEEP),3,432,-,-,-5,+1(21),-,+5(205),-,-,-2,-,-,+3(86)
224,South-Central University for Nationalities,奉均衡之命 (As balance dictates),3,440,-,-,-,+1(11),-,+2(272),-,-,-2,-,-,+1(137)
225,Nanjing Xiaozhuang University,全体起立 (All Rise),3,446,-,-,-,+1(9),-,+5(118),-,-,-,-,-,+6(139)
226,Northeastern University (China),辉耀 (NEU_Radiance),3,452,-1,-,-3,+1(10),-,+6(258),-,-,-3,-,-,+2(64)
227,Nanjing University of Aeronautics and Astronautics,我的盐呢？ (ILoveSaber),3,456,-,-,-,+2(10),-,-3,-,-,+3(255),-,-,+5(51)
228,Guizhou University,拿铁咖啡 (lattle),3,461,-,-,-,+1(15),-,+5(298),-,-,-30,-,-,+1(68)
229,Shandong University of Technology,曲终人不散 (Back in Black),3,462,-,-,-,+1(9),-,+4(156),-,-,-6,-,-,+3(197)
230,University of Science and Technology Beijing,思无邪 (Polaris),3,467,-,-,-,+1(16),-,+9(240),-,-,-,-,-,+1(51)
231,Jiangxi University of Finance and Economics,这就是队名 (Here is name),3,476,-,-,-,+1(22),-,+6(221),-,-,-2,-,-,+2(113)
231,Dalian Maritime University,脸滚键盘 (face on keyboard pong pong pong),3,476,-,-,-,+1(7),-,+9(220),-,-,-,-,-,+3(49)
233,Qinghai University,TLE没门 (FightForMedal),3,481,-,-,-,+1(46),-,+2(205),-,-,-,-,-,+3(170)
234,Zhejiang SCI-TECH University,普通的队 (ordinary team),3,483,-,-,-,+1(9),-,-3,-,-,+6(297),-,-,+2(57)
235,China University of Geosciences (Wuhan),地大武汉ACM-No.1 (CUG-2018Final01),3,484,-,-,-,+1(13),-,+6(250),-,-,-3,-,-,+3(81)
236,Hohai University,码农翻身 (Still xianyu),3,489,-,-,-,+1(20),-,+4(232),-,-,-13,-,-,+4(117)
237,Jiangxi University of Science and Technology,银色子弹 (Silver Bullet),3,497,-,-,-,+2(23),-,+2(194),-,-,-6,-,-,+4(180)
238,Taiyuan University of Technology,A云 (ACloud),3,506,-,-,-,+1(10),-,+7(298),-,-,-1,-,-,+2(58)
239,"Ningbo Institute of Technology, ZJU",石筑之海 (stone ocean),3,507,-,-,-,+1(15),-,+7(296),-,-,-3,-,-,+2(56)
240,Shandong University at Weihai,咕咕咕 (GU GU GU),3,517,-,-,-,+1(13),-,+9(297),-,-,-2,-,-,+1(47)
241,Xi'an University of Science and Technology,我被打了，我是弟弟 (I was beaten.I'm little brother),3,522,-,-,-,+1(14),-,+2(242),-,-,-1,-,-,+5(166)
242,China University of Mining and Technology,WA WA FISH (WA WA FISH),3,526,-,-,-,+1(7),-,+7(289),-,-,-3,-,-,+2(90)
243,Northwestern Polytechnical University,水个牌子 (NPU_water_a_medal),3,527,-,-,-,+2(20),-,+7(291),-,-,-4,-,-,+1(76)
243,Zhejiang A & F University,铃羽世界第一软萌 (Suzuha is cute!),3,527,-,-,-,+1(7),-,+10(264),-,-,-22,-,-,+2(56)
245,Tianjin University,TJU_天之豪杰 (TJU_jth),3,528,-,-,-2,+1(11),-,+7(222),-,-,-18,-,-,+5(95)
246,Southwest Jiaotong University - Emei,暴力过题 (for(int i=1;;i++) Accepted++;),3,541,-,-,-,+1(29),-,+4(221),-,-,-1,-,-,+3(191)
247,Communication University of China,只有签到题能 (Tourists),3,545,-,-,-,+1(20),-,+1(238),-,-,-,-,-,+7(167)
247,Zhejiang University of Finance and Economics,小鸡爱吃肯德基 (The chicken loves KFC),3,545,-,-,-,+1(9),-,+11(288),-,-,-,-,-,+1(48)
