Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
87,74,华南理工大学,胖头鱼头胖,4,683,-,-,+2(191),-,+1(14),+4(228),-,-,-,+3(130),-,-5,-,60%,Honorable,冼昊明,李珲,钱晨炼,N,N
88,75,上海大学,夜归人,4,713,-,-,+3(240),-,+1(10),+3(198),-,-,-,+2(165),-,-5,-,55%,Honorable,冀昱昊,易兰萱,陶钧,N,N
89,76,华东师范大学,SEI1,4,755,-,-,+4(266),-,+3(15),+2(145),-,-,-,+4(149),-,-2,-,69%,Honorable,余东桦,漆宇祥,范晨阳,N,N
90,77,中国人民大学,怎么去拥有一道彩虹,4,766,-4,-,+1(223),-,+1(12),+2(167),-,-,-,+5(264),-,-19,-,55%,Honorable,刘书玮,罗碚,陈志朋,N,N
91,78,东华大学,不可视境界线-Final,4,835,-1,-,+1(223),-,+2(11),+6(258),-,-,-,+3(183),-,-1,-,66%,Honorable,刘青山,方荥荣,黄城帆,N,N
92,,南方科技大学,南方科技大学-希腊奶,4,925,-,-,+1(163),-,+1(15),+5(142),-,-,-,+14(265),-,-4,-,80%,Honorable,周珈伊,张嘉妤,,N,Y
93,79,华南师范大学,梭哈队,4,1015,-,-,+2(290),-,+2(19),+3(274),-,-,-,+5(272),-,-,-,66%,Honorable,冼嘉荣,林叶华,覃醒亮,N,N
94,80,桂林电子科技大学,无名之辈 - 我们都会有很好出路,3,164,-1,-,+1(111),-,+1(8),+1(45),-,-,-,-5,-,-,-,0%,Honorable,刘思语,汪庭浩,鲁智昊,N,N
95,,浙江大学,Duckforces,3,257,-4,-,-1,-,+2(12),+2(126),-,-,-,+2(59),-,-,-,50%,Honorable,张志心,楼沁霈,郭一铭,N,Y
96,81,哈尔滨工业大学（威海）,帅比队长在线征婚,3,259,-,-,+1(137),-,+1(21),+3(61),-,-,-,-7,-,-,-,40%,Honorable,戚煜,曹瑞宁,解裕懋,N,N
97,82,河南农业大学,Indigo,3,262,-,-,-5,-,+1(13),+1(46),-,-,-,+2(183),-,-,-,25%,Honorable,李治毅,贾懿,闫亚鑫,N,N
98,83,福州职业技术学院,你没事就吃溜溜梅,3,266,-,-,-,-,+1(23),+1(56),-,-,-,+2(167),-,-,-,25%,Honorable,孟羽佳,王东,郭泽楷,N,N
99,84,南开大学,幻视之夜,3,269,-,-,-2,-,+1(25),+1(53),-,-,-,+3(151),-,-,-,40%,Honorable,侯黄博林,华志远,林诗润,N,N
100,85,中国地质大学（武汉）,真找不到解,3,299,-,-,-5,-,+1(22),+1(55),-,-,-,+4(162),-,-,-,50%,Honorable,刘剑峰,曹世杰,秦浩然,N,N
