Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
286,,西北农林科技大学,自驾游,1,82,+3(42),,-3,,,,,,-5,-5,,,
288,,南京邮电大学通达学院,迎接风暴,1,83,+3(43),,,,,,,,,-10,,,
289,,中国矿业大学徐海学院,灵动1队,1,111,+4(51),,,,,,,,-6,-1,,,
290,,北京化工大学,Lady Bug,1,124,+3(84),,,,,,,,-1,-1,,,
291,,中国矿业大学,被生活鸭垮,1,129,+2(109),,,,,,-5,,,-4,,,
292,,东华理工大学,东理劲旅,1,142,+5(62),,,,,,-3,,,,,,
292,,福建农林大学,ice,1,142,+3(102),,,,,,,,-2,-5,,,
294,,北京电子科技学院,%d%d%d,1,145,+6(45),,,,,,-7,,,,,,
295,,北京师范大学珠海分校,BNUZ_贝多芬,1,151,+5(71),,,,,,,,-2,-8,,,
295,,南京晓庄学院,nxacm007,1,151,+5(71),,,,,,,,,-2,,,
297,,常州大学,我就算饿死，死外边，从这跳下去，也不会打一次铁,1,175,+3(135),,,,,,,,,,,,
298,,南开大学,常WA队,1,180,+7(60),,,,,,-2,,,-2,,,
299,,闽江学院,代码天成,1,181,+6(81),,,,,,,,-2,,,,
300,,南京信息工程大学,喵主子说你们做的都队,1,188,+7(108),,,,,,,,-1,-4,,,
301,,南京邮电大学,全是评测鸭的问题,1,209,+6(149),,,,,,-1,,,,,,
302,,常州大学,比赛有风险 打铁没路费,1,219,+6(119),,,,,,,,-6,,,,
303,,兰州理工大学,兰州理工大一队,1,231,+8(91),,,,,,-7,,,,,,
304,,大连海事大学,幽默茄子,1,241,+5(161),,,,,,-1,,,-1,,,
305,,嘉应学院,黑化肥挥发发灰会花飞,1,252,+7(132),,,,-1,,,,-8,,,,
306,,哈尔滨理工大学,哈理工11队,1,262,+8(142),,,,,,-1,,-1,,,,
307,,河南理工大学,魔极客,1,278,+5(198),,,,,,,,,,,,
308,,中国矿业大学（北京）,快乐健康养生咸鱼每一天,1,312,+5(232),,,,,,-8,,,,,,
309,,燕山大学,塔山小树林,1,368,+8(228),,,,,,,,,-2,,,
310,,天津大学仁爱学院,小球球啊,1,412,+11(212),,,,,,,,,,,,
311,,商丘学院应用科技学院,前进队,1,902,+33(302),,,,,,,,,-3,,,
312,,北京工业大学,保卫萝卜,0,0,-1,,,,,,,,,-1,,,
312,,湖南人文科技学院,星之火,0,0,-11,,,,,,,,-3,,,,
312,,南京农业大学,神奇海螺,0,0,-4,,,,-1,,-3,,,,,,
312,,常州大学,origin,0,0,-8,,,,,,,,,,,,
312,,南昌理工学院,超越,0,0,-8,,,,,,,,,,,,
312,,潍坊学院,我们就是来旅游的(手动滑稽,0,0,-14,,,,,,,,,,,,
