Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
106,杭州师范大学,仓前皇家女子学院 (Royal College for Women),1,139,+3(99),-,-,-,-,-,-2,-,-,-,-,-,-
108,浙江师范大学,毕竟老夫也不是什么恶魔嘛 (we are not devil),1,140,+1(140),-,-,-,-,-,-,-,-,-,-,-,-2
109,哈尔滨学院,番茄炒蛋 (Nothing Is Impossible),1,142,+1(142),-,-,-,-,-,-1,-,-,-,-,-,-
110,西南石油大学,真的想耍女朋友了 (Where are my girlfriends),1,145,+2(125),-,-,-,-,-,-,-3,-,-,-,-,-
111,苏州大学,键盘冒奶 (I said the calculation),1,146,+2(126),-,-,-,-,-,-,-,-,-,-,-,-
112,江南大学,天晨破晓 (Daybreak),1,150,+1(150),-,-,-,-,-,-,-2,-,-,-,-,-
113,华北电力大学（北京）,罩不住 (Can't cover),1,152,+2(132),-,-,-,-,-,-,-,-,-,-,-,-
113,南京大学,啦啦啦 (laLaLA),1,152,+2(132),-,-,-,-,-,-2,-,-,-,-,-,-
115,西南交通大学,我想到一个绝妙的队名 (Length Limit Exceeded),1,155,+1(155),-,-,-,-,-,-,-,-,-,-,-,-
116,哈尔滨理工大学,真自闭 (True Autistic),1,164,+3(124),-,-,-,-,-10,-,-,-,-,-,-,-
117,北京邮电大学,八倍月厨 (Dreaming Sheeps),1,165,+5(85),-,-,-1,-,-,-8,-,-,-,-,-,-5
118,大连海事大学,AC是一种信仰吗 (Believe),1,166,-2,-,-,-,-,-,+2(146),-,-,-,-,-,-
119,福州大学,薛定谔那三只没死的喵 (Schrodinger's three cats that are not dead),1,169,+3(129),-,-,-,-,-,-,-7,-,-,-,-,-
120,长沙理工大学,长里王1+1 (CSUST team Two),1,174,+2(154),-,-,-,-,-,-1,-,-,-,-,-,-
121,西安电子科技大学,李先生说的 (Whatever Mr. Li says is),1,178,+2(158),-,-,-,-,-,-,-,-,-,-,-,-
122,中国石油大学（华东）,好好学习 (good good study),1,179,+2(159),-,-,-,-,-,-,-,-,-,-,-,-
123,临沂大学,瓜皮王国里的三个瓜皮小战士 (Confucianism Wind Threesome),1,181,+4(121),-,-,-,-,-,-5,-,-,-,-,-,-
124,郑州师范学院,郑师二队 (zznuteam2),1,183,+1(183),-,-,-,-,-,-,-2,-,-,-,-,-
125,山东理工大学,进击的小怪兽 (Attack on the little monster),1,184,+1(184),-,-,-,-,-,-11,-,-,-,-,-,-
126,南京理工大学,接下来宣布获得木牌的队伍 (Next_announce_wooden_medals_team),1,190,+4(130),-,-,-,-,-,-,-,-,-,-,-,-
127,郑州轻工业学院,信任 (zzuli_xz_Trust),1,191,+2(171),-,-,-,-,-,-,-2,-,-,-,-,-
128,浙江财经大学,小鸭爱吃鸭锁骨 (DuckLikeClavicle),1,204,+2(184),-,-,-,-,-,-,-,-,-,-,-,-
128,哈尔滨工业大学,缘分到了自然过题 (AcceptedByFate),1,204,+1(204),-,-,-,-,-,-,-,-,-,-,-,-
130,中北大学,虽千万人吾往矣 ( We Are),1,206,+1(206),-,-,-,-,-,-,-,-,-,-,-,-
131,广东外语外贸大学,难受的一匹 (GDUFS_BlueMushroom),1,209,+2(189),-,-,-,-,-,-,-,-,-,-,-,-
132,天津工业大学,出来看神仙看神仙 (come out to see dalao see dalao),1,214,+3(174),-,-,-,-,-,-,-5,-,-,-,-,-
133,北京理工大学,摸鱼肥宅 (Touch fish fat gamer),1,215,+2(195),-,-,-,-,-,-,-4,-,-,-,-,-
134,南京理工大学,维他柠檬茶 (Vita Lemon Tea),1,219,+2(199),-,-,-,-,-,-,-,-,-,-,-,-
135,湖南师范大学,聚聚在桂林看我A题 (Look At Me! Ju Ju),1,220,+1(220),-,-,-,-,-,-1,-1,-,-,-,-,-1
136,天津大学,TJU_无人深空 (TJU_No_Man's_Skay),1,223,+5(143),-,-,-,-,-,-3,-,-,-,-,-,-
137,河南理工大学,复仇者联盟 (The Avengers),1,228,+4(168),-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1
138,上海理工大学,上理菜鸟一队 (USSTcn1),1,230,+2(210),-,-,-,-,-,-,-,-,-,-,-,-
139,国防科技大学,ALPC_T2 (ALPC_T2),1,233,+3(193),-,-,-,-,-,-,-,-,-,-,-,-3
140,华中科技大学,要我一直笑吗 (Do I have to laugh all the time),1,235,+3(195),-,-,-,-,-,-,-10,-,-,-,-,-
141,哈尔滨工业大学,星夜 (Starry Night),1,245,+1(245),-,-,-,-,-,-1,-,-,-,-,-,-
142,福州大学,福大命大 (FZUlife),1,247,+6(147),-,-,-,-,-,-,-14,-,-,-,-,-
143,解放军信息工程大学,头号玩家 (Player One),1,254,+4(194),-,-,-,-,-1,-,-,-,-,-,-,-
144,浙江工业大学,喋血胖头猫 (CodingCat),1,255,+4(195),-,-,-,-,-,-,-,-,-,-,-,-
145,长安大学,去东边 (East Palace),1,259,+7(139),-,-,-,-,-,-1,-1,-,-,-,-,-
146,湖北工业大学,疯狂输出 (77CC),1,260,+2(240),-,-,-,-,-,-,-,-,-,-,-,-
147,东北大学秦皇岛分校,WAHAHA (WAHAHA),1,263,+4(203),-,-,-,-2,-,-,-,-,-,-,-,-
147,广东工业大学,AC梦工厂 (GDUT_AOBO),1,263,+2(243),-,-,-,-,-,-2,-,-,-,-,-,-
149,江西师范大学,TLEboys (TLEboys),1,265,+5(185),-,-,-,-,-,-,-,-,-,-,-,-
150,江苏科技大学（张家港）,胜利 (Victory),1,269,+2(249),-,-,-,-,-,-,-4,-,-,-,-,-
151,南华大学,奶油馒头@USC (Cream Bread@USC),1,270,+3(230),-,-,-,-,-,-,-3,-,-,-,-,-
152,青岛大学,我爱中华 (WLChina),1,274,+6(174),-,-,-,-,-,-1,-,-,-,-,-,-
152,东北大学,赏金猎人 (NEU_bounty hunter),1,274,+3(234),-,-,-,-,-,-,-,-,-,-,-,-
154,浙江中医药大学,徐州好地方 (Good place in Xuzhou),1,275,+3(235),-,-,-,-,-,-,-,-,-,-,-,-
155,鲁东大学,油腻的小灵通PHS (Greasy PHS),1,280,+4(220),-,-,-,-,-,-,-2,-,-,-,-,-
156,河海大学,赛尔先锋小队 (seer vanguard),1,283,+1(283),-,-,-,-,-,-,-,-,-,-,-,-
156,河海大学常州校区,双黄蛋胡了 (Double Yolk),1,283,+2(263),-,-,-,-,-,-,-,-,-,-,-,-
158,杭州电子科技大学信息工程学院,"莫的感情,是群鸽子 (Dove has no feelings)",1,290,+1(290),-,-,-,-,-,-,-,-,-,-,-,-
159,山东大学（威海）,云想衣裳花想容 (cloud likes dress),1,297,+4(237),-,-,-,-,-,-,-,-,-,-,-,-
160,南京大学金陵学院,那个男人 (Saiki Kusuo),1,299,+1(299),-,-,-,-,-,-,-,-,-,-,-,-
160,中国人民大学,经过我们三个人头脑风暴苦思冥想七天之后仍然不知道这里该填什么好于是我们还是叫等一个队名 (We find it hard to fill this blank after 7 day brainstorming so our team's name is Still Waiting For A Name),1,299,+5(219),-,-,-,-,-,-,-,-,-,-,-,-
162,华南理工大学,凛冬将至 (Winter is Coming),1,300,+5(220),-,-,-,-,-,-,-,-,-,-,-,-
162,天津大学仁爱学院,邪王真眼见崎鸣 (MisakiRika),1,300,+4(240),-,-,-,-,-,-,-,-,-,-,-,-
164,中山大学,贝斯 (SYSU_Bessie),1,305,+5(225),-,-,-,-,-,-,-,-,-,-,-,-2
164,上海大学,只想摸鱼 (ONLY WANT TO MO FISH),1,305,+5(225),-,-,-,-,-,-,-,-,-,-,-,-
166,香港城市大学,CityU CS 2 (CityU CS 2),1,306,+3(266),-,-,-,-,-,-,-,-,-,-,-,-5
167,中国矿业大学（北京）,便乘队 (soudayou),1,308,+7(188),-,-,-,-,-,-2,-,-,-,-,-,-
168,华东交通大学,抱紧阿姨大腿 (First handsome in the universe),1,311,+4(251),-,-,-,-,-,-,-,-,-,-,-,-
169,华南理工大学,我的气球哪去了 (WhereIsMyBalloons),1,312,+2(292),-,-,-,-,-,-,-,-,-,-,-,-
169,河南理工大学,广义无监督自学习复读机 (Generalized Unsupervised Self-Learning Repeater),1,312,+4(252),-,-,-,-,-,-,-,-,-,-,-,-
171,南京晓庄学院,香港记者 (HKReporter),1,313,+7(193),-,-,-,-,-,-,-,-,-,-,-,-
171,深圳大学,爆零 (BoomZero),1,313,+2(293),-,-,-,-,-,-,-,-,-,-,-,-
173,东北大学秦皇岛分校,肥宅快乐wa (happy cocacola),1,315,+3(275),-,-,-,-,-,-,-,-,-,-,-,-
174,哈尔滨理工大学,名字还没想好 (The name is missing),1,323,+3(283),-,-,-,-,-,-,-,-,-,-,-,-
175,东北师范大学,三线程 (Tri-Thread),1,326,+5(246),-,-,-,-,-,-,-,-,-,-,-,-
176,湘潭大学,学习使我AC (XTU_Learning makes me AC),1,328,+3(288),-,-,-,-,-,-,-,-,-,-,-,-
177,中国地质大学（北京）,欧勒哇速趴贝吉塔 (Super_Wrzz),1,340,+4(280),-,-,-,-,-,-,-,-,-,-,-,-
178,上海大学,心动网络-匠心队 (X.D.Network-Ingenuity),1,342,+8(202),-,-,-,-,-,-1,-,-,-,-,-,-
179,广东工业大学,想吃五饭 (GDUT_wfllm),1,348,+4(288),-,-,-,-,-,-,-,-,-,-,-,-
180,山东农业大学,AC789 (AC789),1,356,+7(236),-,-,-,-,-,-,-2,-,-,-,-,-
181,东北大学,喝杯JAVA冷静下 (NEU_drink java),1,363,+5(283),-,-,-,-,-,-,-,-,-,-,-,-
182,浙江中医药大学,滨文路548号 (548 BinWen Road),1,372,+7(252),-,-,-,-,-,-,-,-,-,-,-,-
183,浙江理工大学,流漏面河鹅懒石 (Beef noodles and pebbles),1,399,-8,-,-,-,-,-,-,+6(299),-,-,-,-,-
184,东北林业大学,AotoriChiaki (AotoriChiaki),1,453,+11(253),-,-,-,-,-,-,-,-,-,-,-,-
185,电子科技大学,uestc_main (UESTC_Main),1,475,+10(295),-,-,-,-,-,-,-4,-,-,-,-,-
186,杭州电子科技大学,杭电七队 (HDU-YangChaoYue),1,548,+14(288),-,-,-,-,-,-,-,-,-,-,-,-
187,长春理工大学,嗨呀气死了 (I was angry！),1,606,+17(286),-,-,-,-,-,-,-,-,-,-,-2,-
188,浙江工商大学,浙江工商大学 (ZJGSU),0,0,-,-,-,-,-,-,-1,-,-,-,-,-,-
188,南京邮电大学,马猴烧酒02酱 (NJUPT_Code-for-magic),0,0,-8,-,-,-,-,-,-,-,-,-,-,-,-
188,南京工业大学,简单人机 (EasyRenJi),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,桂林电子科技大学,疯狂wa (Crazy WA),0,0,-19,-,-,-,-,-,-,-,-,-,-,-,-
188,福州大学,窗前明月光，做题心慌慌 (No Game No Life),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,杭州电子科技大学信息工程学院,等待并心怀希望 (Waiting in parallel with hope),0,0,-4,-,-,-,-,-,-3,-,-,-,-,-,-
188,大连海事大学,我的天啊怎么可以这么强 (omg why it can be so powful),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,中国地质大学（北京）,花汐酒屋 (Hana-Shio winehouse),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,宁波大学,生存时限 (TTL),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,南京邮电大学,被榜淹没不知所措 (NJUPT_FollowU),0,0,-,-,-,-,-,-,-1,-,-,-,-,-,-
188,东北师范大学,螺旋闪光超轮舞吼三式 (Spiral flash super round dance),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,南通大学,冷面真香 (Cold Noodles Delicious),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,湖南工业大学,是是是 (yesyesyes),0,0,-6,-,-,-,-,-,-,-,-,-,-,-,-
188,东北大学秦皇岛分校,deblv (deblv),0,0,-7,-,-,-,-,-,-,-,-,-,-,-,-
188,河海大学,加拉隆_最后一战 (Garralon_End),0,0,-,-,-,-,-,-,-4,-,-,-,-,-,-
188,四川师范大学,嘤嘤嘤 我一坨子锤你胸口可能遭不住 (yingyingying you can't bear with my tuozi),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,杭州电子科技大学,杭电十队 (HDU-Team10),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,南京师范大学,刘恋牛来牛恋刘 (BullLiuLovesEachOther),0,0,-16,-,-,-,-,-,-,-,-,-,-,-,-
188,南通大学,不香不要钱 (no spice no money),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,西南科技大学,网络已断开 ( no regret voyage ),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,太原理工大学,上帝吃泡面 (God eats instant noodles),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
188,南方科技大学,南方科技大学_利物浦 (SUSTech_Liverpool),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-4
188,桂林电子科技大学,小猪佩奇 (Pig Pecs),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,重庆大学,漫步者 (Rambler),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-2
188,新疆大学,烤包子 (kaobaozi),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
188,湖北工业大学,她来听我的演唱会 (Tornado),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,成都信息工程大学,三元线性回归 (Ternary linear regression),0,0,-2,-,-,-,-,-,-,-,-,-,-,-,-
188,南京航空航天大学,我们是没有感情的ACM杀手 (ACM Killers with no mercy),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,潍坊科技学院,"隔壁队伍讨论问题请大点声 (Speak louder, please)",0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,中国矿业大学徐海学院,灵动 (Agile1),0,0,-6,-,-,-,-,-,-1,-,-,-,-,-,-
188,河海大学,码农翻身 (Still xianyu),0,0,-1,-,-1,-,-,-,-,-,-,-,-,-,-1
188,上海第二工业大学,蛋王之王 (Fighting),0,0,-1,-,-,-,-,-,-,-,-,-,-,-,-
188,安阳工学院,猴子派来的小小队 (A small team of monkeys),0,0,-18,-,-,-,-,-,-,-,-,-,-,-,-
188,兰州大学,只有队名可以吗 (space),0,0,-,-,-,-,-,-,-3,-,-,-,-,-,-
188,哈尔滨工程大学,大郎该吃药了 (yingyingying),0,0,-,-,-,-,-3,-,-,-,-,-,-3,-,-
188,宁波大学,Xiayu (Xiayu),0,0,-,-,-,-,-,-,-,-,-,-,-,-,-1
188,山东理工大学,代码与人生如诗 (EL PSY CONGROO),0,0,-3,-,-,-,-,-,-,-,-,-,-,-,-
188,重庆大学,香港记者队 (deep dark fantasy),0,0,-4,-,-,-,-,-,-,-3,-,-,-,-,-
