Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Unofficial,Girl
231,117,中原工学院,中国原子弹工程学院 ,2,336,-,-,-,-,-,+1(25),-,-,-,-,-3,+7(191),-,75%,N,N
232,,上海科技大学,未来道具研究所,2,348,-6,-,-,-,-,+2(32),-,-,-,-,-,+7(176),-,77%,N,N
233,,哈尔滨理工大学,哈理工13队,2,349,-,-1,-,-,-,+4(72),-,-,-,-,-,+3(177),-,71%,N,N
234,,北京航空航天大学,从爆零开始的ACM生活,2,376,-,-,-,-5,-,+3(29),-,-,-,-,-3,+7(187),-,80%,N,N
235,,北京师范大学,北师二队,2,385,+3(188),-,-,-3,-,+3(117),-,-,-,-,-,-12,-,66%,N,N
236,118,河南工业大学,变量记得初始化,2,386,-3,-1,-,-,-,+5(153),-,-,-,-,-,+2(133),-,71%,N,N
237,119,武汉理工大学,WaToFinal,2,400,-,-,-,-,-,+1(35),-,-,-,-,-5,+6(265),-,71%,N,N
238,,吉林大学,西天取金,2,426,-,-,-,+6(290),-,+1(36),-,-,-,-,-6,-14,-,71%,N,N
239,120,曲阜师范大学,魏子栋和他的家人们,2,437,-,-,-,-,-,+4(147),-,-,-,-,-4,+2(210),-,66%,N,N
240,,国防科技大学,作风优良,2,438,-,-,-,-,-,+1(22),-,-,-,-,-,+8(276),-,77%,N,N
241,,山东大学（威海）,（价值两百万的圆角队名）,2,445,-2,-,-,-,-,+2(53),-,-,-,-,-,+9(212),-,81%,N,N
242,,江西师范大学,新自码小队,2,461,-,-,-,-,-,+5(86),-,-,-,-,-2,+4(235),-,77%,N,N
243,121,郑州轻工业大学,分个块，排个序,2,469,-22,-,-,-,-,+2(42),-,-,-,-,-,+9(247),-,81%,N,N
244,122,山东师范大学,富婆饿饿,2,480,-,-,-,-,-,+1(42),-,-,-,-,-3,+10(258),-,81%,N,N
245,123,合肥学院,误人子弟,2,481,-,-,-,-,-,+2(24),-,-,-,-,-,+9(277),-,81%,N,N
246,124,南通大学,扬帆社,2,591,-,-,-,-,-,+8(147),-,-,-,-,-,+5(224),-,84%,N,N
247,,重庆邮电大学,未名,2,593,-,-,-,-,-,+1(19),-,-,-,-,-,+15(294),-,87%,N,N
248,125,浙江工商大学杭州商学院,铜奖收割机,2,612,-,-,-,-,-,+8(156),-,-,-,-,+3(276),-2,-,81%,N,N
249,,中国石油大学（华东）,狗蛋无敌,1,19,-,-,-,-10,-,+1(19),-,-,-,-,-,-5,-,0%,N,N
250,,山东师范大学,快攻猛男,1,23,-1,-,-,-,-,+1(23),-,-,-,-,-,-11,-,0%,N,N
251,,东北师范大学,黎明初晓,1,26,-,-,-,-,-,+1(26),-,-,-,-,-1,-6,-,0%,N,N
252,,西北工业大学,光之巨人,1,29,-,-,-,-,-,+1(29),-,-,-,-,-,-10,-,0%,N,N
253,126,长春理工大学,潇洒鳄鱼,1,30,-1,-,-,-,-,+1(30),-,-,-,-,-,-14,-,0%,N,N
254,,杭州师范大学,指尖旋律,1,31,-,-,-,-,-,+1(31),-,-,-,-,-,-8,-,0%,N,N
255,,长沙理工大学,能混就混,1,32,-,-,-,-,-,+1(32),-,-,-,-,-,-15,-,0%,N,N
256,127,西安邮电大学,秃头始终慢我一步,1,33,-,-,-,-,-,+1(33),-,-,-,-,-,-4,-,0%,N,N
257,128,宁波大学,快乐的小马驹,1,36,-,-3,-,-,-,+1(36),-,-,-,-,-,-8,-,0%,N,N
258,,西北农林科技大学,米奇喵喵屋,1,38,-,-,-,-,-,+1(38),-,-,-,-,-6,-3,-,0%,N,N
259,129,西安理工大学,西西里,1,40,-,-,-,-,-,+1(40),-,-,-,-,-,-11,-,0%,N,N
260,,广东工业大学,沸水,1,50,-,-,-,-,-,+2(30),-,-,-,-,-1,-2,-,50%,N,N
261,130,青岛大学,干了这杯茅台,1,53,-7,-,-,-,-,+2(33),-,-,-,-,-,-11,-,50%,N,N
261,,西北大学,acm要笑着打,1,53,-,-,-,-,-,+1(53),-,-,-,-,-,-11,-,0%,N,N
263,131,南阳理工学院,AC小分队,1,58,-,-,-,-,-,+2(38),-,-,-,-,-,-5,-,50%,N,N
264,,北京师范大学,群鸦盛宴,1,59,-,-1,-,-,-,+1(59),-,-,-,-,-,-3,-,0%,N,N
265,,西安邮电大学,三个臭皮匠,1,65,-,-,-,-,-,+2(45),-,-,-,-,-,-2,-,50%,N,N
265,,中北大学,树下没法合并,1,65,-,-,-,-,-,+2(45),-,-,-,-,-,-2,-,50%,N,N
267,,西安理工大学,XUDJY,1,70,-,-,-,-,-,+3(30),-,-,-,-,-,-5,-,66%,N,N
268,,西安邮电大学,正人君子们,1,71,-,-,-,-,-,+2(51),-,-,-,-,-7,-8,-,50%,N,N
269,,南阳理工学院,被竞赛耽误的念诗先锋,1,73,-,-,-,-,-,+1(73),-,-,-,-,-,-8,-,0%,N,N
270,132,宁夏大学,别举报挂机仔求求了,1,76,-,-,-,-,-,+2(56),-,-,-,-,-,-13,-,50%,N,N
271,133,南开大学,这是个队名冯杰康,1,103,-,-,-,-,-,+4(43),-,-,-,-,-,-8,-,75%,N,N
272,,哈尔滨理工大学,哈理工1队,1,104,-,-,-,-,-,+3(64),-,-,-,-,-7,-15,-,66%,N,N
273,134,陕西师范大学,你说的都队,1,119,-,-,-,-,-,+1(119),-,-,-,-,-,-,-,0%,N,N
274,135,武昌首义学院,校霸,1,120,-,-,-,-,-,+5(40),-,-,-,-,-,-13,-,80%,N,N
275,,南阳理工学院,向快乐出发,1,125,-,-1,-,-,-,+3(85),-,-,-,-,-,-2,-,66%,N,N
276,136,常熟理工学院,虞你一起TLE,1,132,-,-,-,-,-,+1(132),-,-,-,-,-,-7,-,0%,N,N
277,,陕西师范大学,acm吃瓜群众,1,139,-,-,-,-,-,+1(139),-,-,-,-,-,-3,-,0%,N,N
278,,西北工业大学,日暮山水,1,146,-,-,-,-,-,+4(86),-,-,-,-,-,-6,-,75%,N,N
279,137,大连大学,邱老师太强了,1,163,-,-,-,-,-,+3(123),-,-,-,-,-,-7,-,66%,N,N
280,138,南京晓庄学院,打完就吃钵钵鸡,1,164,-,-,-,-,-,+2(144),-,-,-,-,-,-7,-,50%,N,N
281,139,中南民族大学,冯妈妈热干面天下无敌,1,181,-,-,-,-,-,+4(121),-,-,-,-,-,-7,-,75%,N,N
282,,西北大学,打字机唱的好,1,196,-,-1,-,-,-,+3(156),-,-,-,-,-,-7,-,66%,N,N
283,,东北大学秦皇岛分校,WA自动机,1,263,-,-,-,-,-,+2(243),-,-,-,-,-,-4,-,50%,N,N
284,140,西南石油大学,WA了那咋办嘛,1,270,-,-3,-,-,-,+5(190),-,-,-,-,-,-1,-,80%,N,N
285,,大连理工大学,终于出来旅游了,1,273,-,-,-,-,-,+5(193),-,-,-,-,-2,-11,-,80%,N,N
286,,武昌首义学院,放学回家,1,318,-,-,-,-,-,+5(238),-,-,-,-,-,-10,-,80%,N,N
287,,同济大学,电脑,1,333,-,-,-,-,-,-14,-,-,-,-,+4(273),-,-,75%,N,N
288,,南阳理工学院,AC小队,1,349,-1,-,-,-,-,+6(249),-,-,-,-,-,-4,-,83%,N,N
289,141,贵州工程应用技术学院,五杀,0,0,-,-,-,-,-,-6,-,-,-,-,-,-,-,0%,N,N
289,141,陕西科技大学,好好好冲冲冲,0,0,-,-,-,-,-,-2,-,-,-,-,-,-,-,0%,N,N
289,141,西安欧亚学院,攻城狮,0,0,-,-,-,-,-,-,-,-,-,-,-,-4,-,0%,N,N
289,,西安欧亚学院,程序猿,0,0,-,-,-,-,-,-1,-,-,-,-,-,-1,-,0%,N,N
289,,河南大学,舞法天女朵法拉,0,0,-,-,-,-,-,-4,-,-,-,-,-,-14,-,0%,N,N
289,141,华中农业大学,阿瓦达啃大瓜,0,0,-,-,-,-,-,-12,-,-,-,-,-,-1,-,0%,N,N
