Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
149,,北京理工大学,不要rua我喵,5,1145,+4(96),+16(295),-,-,-,-,+4(60),-,-,+2(26),-,+2(208),-,82%,Bronze,章一沛,冯靖轩,项俊杰,N,N
150,,杭州电子科技大学,杭电8队,4,211,-5,+1(112),-1,-,-,-,+1(13),-,-,+1(23),-,+1(63),-,0%,Bronze,陈旭,陈瀚锐,罗立诚,N,N
151,86,西南交通大学,最终回合,4,256,+1(45),+1(111),-,-,-,-,+3(43),-,-,+1(17),-,-3,-,33%,Bronze,苏永康,丁昱,顾兴哲,N,N
152,87,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,4,257,+1(77),+1(136),-2,-,-,-,+1(30),-,-,+1(14),-,-4,-,0%,Bronze,陈学海,李诏天,毛郅皓,N,N
153,,杭州电子科技大学,杭电3队,4,280,+1(68),-8,-,-,-,-,+2(30),-,-,+1(21),-,+2(121),-,33%,Bronze,王佳栋,吴启航,王远涛,N,N
154,88,河南大学,不协和音程,4,312,+5(63),-3,-,-11,-,-,+2(18),-,-,+1(16),-,+2(95),-,60%,Bronze,曹家宁,孙小文,罗施达,N,N
155,89,深圳大学,躺赢狗,4,316,+2(75),+1(126),-8,-,-,-,+2(31),-,-,+2(24),-,-3,-,42%,Bronze,岑健锋,熊鑫辉,张楠,N,N
156,,武汉大学,ACMX4869,4,328,+2(88),-7,-,-,-,-,+2(37),-,-,+1(18),-,+1(145),-,33%,Bronze,魏俊涛,杨锦熙,戴天奕,N,N
157,90,长安大学,重生之憧憬成为菜狗,4,331,+1(86),-2,-,-,-,-,+2(29),-,-,+1(18),-,+1(178),-,20%,Bronze,蒙禹龙,冯瀚文,龙炜枫,N,N
158,91,江南大学,受不了了！变成哈基米！哈气 提交 WA 炸毛,4,344,+2(90),-4,-2,-,-1,-1,+2(45),-1,-,+1(25),-,+1(144),-,33%,Bronze,周辰屹,幸峻毅,周俊恺,N,N
159,92,武汉理工大学,爱抖露码死他,4,344,+1(68),+1(199),-,-,-,-,+2(31),-,-,+1(26),-,-7,-,20%,Bronze,李晨,俞烨宸,李意峰,N,N
160,,同济大学,重生之不可以总司令,4,346,+2(81),-18,-,-,-,-,+2(33),-,-,+2(41),-,+1(131),-,42%,Bronze,韩昊苏,宋瑞,武煦,N,N
161,93,北京林业大学,创4我算了,4,355,+3(89),-11,-,-,-,-,+1(24),-,-,+1(14),-,+1(188),-,33%,Bronze,付耀刚,周欣潼,张秉鸿,N,N
162,,杭州电子科技大学,杭电11队,4,364,+1(43),+5(192),-,-,-,-,+1(15),-,-,+1(34),-,-13,-,50%,Bronze,张裼旭,黄昊,李俊达,N,N
163,94,华东理工大学,通海湖裸泳君,4,365,+4(104),+1(98),-,-,-1,-,+3(31),-,-,+1(32),-,-4,-,55%,Bronze,何昀羲,张语瞳,张智宇,N,N
164,95,上海大学,退火随机模拟,4,371,+2(123),-,-2,-,-,-,+1(23),-,-,+1(21),-,+2(164),-,33%,Bronze,奚闻宣,郭瑞晟,李哲楷,N,N
165,96,天津大学,WA不哇塞,4,373,+3(121),-1,-,-,-,-,+1(14),-,-,+2(28),-,+2(130),-,50%,Bronze,赵文瑞,陈文韬,张文正,N,N
166,97,天津工业大学,祥子帮帮写,4,383,+4(84),-2,-,-1,-,-,+2(27),-,-,+1(18),-,+1(174),-,50%,Bronze,周浩,章若晨,水博翔,N,N
167,,浙江师范大学,不是我喜欢的题目，直接哈气,4,386,+2(95),+1(160),-,-,-,-,+2(49),-,-,+1(42),-,-,-,33%,Bronze,李侑轩,刘彦博,黄玉景,N,N
168,98,丽水学院,月相人生,4,390,+2(84),-9,-,-,-,-,+1(20),-,-,+1(32),-,+4(174),-,50%,Bronze,杨楠,孙愉超,江安煜,N,N
169,,华南理工大学,树上猫猫虫,4,403,+1(53),-2,-,-,-,-,+1(31),-,-,+1(14),-,+3(265),-,33%,Bronze,王思哲,刘兆宇,刘俊祺,N,N
170,,天津大学,WA自动机,4,425,+3(89),-,-,-2,-,-,+3(54),-,-,+1(21),-,+2(161),-,55%,Bronze,郭智柯,丁浩然,曾瑞,N,N
171,99,香港科技大学（广州）,临时组队,4,428,-15,+1(151),-,-,-,-,+2(30),-,-,+1(19),-,+2(188),-,33%,Bronze,钟嘉宸,王语诺,吴星智,N,N
172,,山东大学,wa自动机,4,448,+1(66),-8,-,-,-,-,+2(35),-,-,+2(19),-,+6(188),-,63%,Bronze,吴思宁,杨卓,宋佳奇,N,N
173,100,东北师范大学,队长没睡醒所以训练取消了,4,473,+2(97),-7,-,-,-,-,+1(23),-,-,+1(18),-,+3(275),-,42%,Bronze,林律融,潘可欣,李超平,N,N
174,101,西南财经大学,愿此行，终抵final,4,484,+5(130),+2(213),-,-,-,-,+1(24),-,-,+1(17),-,-1,-,55%,Bronze,刘彻,祝亚辉,蒋思翔,N,N
175,102,江西理工大学,江理1队,4,484,+2(113),-1,-,-,-,-,+2(35),-,-,+1(31),-,+2(245),-,42%,Bronze,罗健,华振峰,钟伟,N,N
176,103,浙江工业大学,ZJUT8,4,488,+4(132),-1,-,-,-,-,+1(37),-,-,+1(49),-,+1(210),-,42%,Bronze,吕天玉,卜凡,程煜泽,N,N
177,,东北大学,东北大学_氕氘氚氦氖氩氪氙氡鿫,4,495,+2(216),-1,-,-,-,-,+1(18),-,-,+1(32),-,+2(189),-,33%,Bronze,施禛祾,吴皓天,李天宇,N,N
178,,南京航空航天大学,星群,4,505,+1(114),-,-,-,-,-,+1(27),-,-,+1(33),-,+3(291),-,33%,Bronze,徐皓,明昇,李立星,N,N
179,,南京航空航天大学,逸群之彦,4,506,+3(89),+2(276),-,-,-,-,+2(27),-,-,+1(34),-,-,-,50%,Bronze,王煜文,郑策,何东泽,N,N
180,104,上海纽约大学,小男娘,4,507,+6(220),-,-,-,-,-,+1(23),-,-,+2(34),-,+1(110),-,60%,Bronze,张书恺,Martin Khachatryan,蒋毅成,N,N
181,105,东南大学,打CPC打的↑↓,4,512,+2(109),+2(258),-,-,-,-,+3(34),-,-,+1(31),-,-,-,50%,Bronze,汪骏宇,张一林,陈乐扬,N,N
182,106,华南师范大学,烧烤一下队名,4,518,+3(166),-9,-,-,-,-,+1(23),-,-,+1(45),-,+2(224),-,42%,Bronze,梁敏豪,呙荸帏,李寿炜,N,N
183,107,湖南科技大学,驾长车，踏破贺兰山缺,4,519,+1(124),-3,-,-,-,-,+2(22),-,-,+2(42),-,+3(251),-,50%,Bronze,黄家兴,梁涵,彭璟焱,N,N
184,108,江西财经大学,魂殿十天尊——瑞杰,4,529,+2(151),-,-,-,-,-,+3(31),-,-,+1(20),-,+4(207),-,60%,Bronze,李鑫,肖俊杰,张瑞杰,N,N
185,109,浙江理工大学,三个方块人一台戏,4,533,+3(125),-3,-,-,-,-,+3(32),-,-,+1(46),-,+2(230),-,55%,Bronze,邱方正,汪明,汤宇涛,N,N
186,,国防科技大学,暂时不知道叫什么,4,538,-9,+1(275),-,-,-,-,+1(34),-,-,+1(14),-,+1(215),-,0%,Bronze,彭轩昂,彭诚,习逸晗,N,N
