Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
311,,哈尔滨理工大学,哈理工05队,3,257,+1(27),,,,+1(71),,,,,+4(99),-8,,
312,,东北农业大学,辉夜大小姐想让我AC~,3,258,+1(19),,,,+1(48),,,,,+3(151),-7,,
313,,广西大学,wuwa熊猫,3,264,+1(25),,,,+2(109),,,,,+3(70),-3,,
313,,吉林大学,绯想天,3,264,+1(21),,,,+2(51),,,,,+3(132),-5,,
315,,北方工业大学,Revisit,3,267,+1(27),,,,+4(62),,,,,+3(78),-8,,
316,,山东科技大学,NCC70611 夏延号,3,270,+1(22),,,,+1(124),,,,,+3(84),-11,,
317,,东北农业大学,黄金矿工,3,272,+2(36),,,,+3(93),,,,,+1(83),-5,-2,
318,,河南理工大学,我想静静,3,275,+2(45),,,,+1(72),,,,,+2(118),-14,,
319,,成都理工大学,蓝桥杯不止五分,3,276,+1(27),,,,+1(108),,,,,+2(121),-10,,
320,,江西理工大学南昌校区,是梦动,3,281,+2(88),,,,+1(106),,-2,,,+1(67),,,
321,,中国人民大学,搬起我的小板凳,3,285,+1(26),,,,+2(67),,,,,+2(152),-1,,
322,,上海师范大学,金玉紫棠,3,288,+1(26),-1,,,+1(83),,,,,+3(139),-6,,
323,,中国石油大学（北京）,一条大河波浪宽,3,292,+2(45),,,,+4(76),,,,,+1(91),-4,,
324,,闽南师范大学,一笑置之,3,293,+2(39),,,,+1(80),,,,,+2(134),-7,,
325,,广州大学,懒狗训练营,3,296,+1(37),,,,+3(72),,,,,+2(127),-4,,
326,,云南大学,不讲码德队,3,297,+2(54),,,,+1(78),,,,,+2(125),-7,,
327,,浙江师范大学,拳打娜娜，脚踢娜娜，头顶娜娜,3,300,+3(41),,,,+3(81),,,,,+1(98),-8,,
328,,成都东软学院,做AC梦,3,303,+2(41),,,,+1(128),,,,,+2(94),-5,,
329,,华北电力大学,一个都不对,3,308,+2(47),-1,,,+1(97),,,,,+3(104),-6,,
330,,电子科技大学中山学院,锟斤烤烫烫烫,3,310,+1(27),,,,+2(126),,,,,+2(117),-13,,
331,,大连海事大学,雄雄后援队,3,313,+3(38),,,,+2(88),,-6,,,+4(67),-7,,
332,,浙江师范大学,快要饿死惹T^T,3,316,+1(29),,,,+3(83),,,,,+3(124),-15,,
333,,浙大城市学院,三个混子不想打铁,3,317,+1(27),-3,,,+4(115),,,,,+3(75),-14,,
334,,东北林业大学,二息步行,3,326,+1(23),,,,+3(98),,,,,+4(105),-11,,
335,,成都信息工程大学,我想带两个小妹妹,3,327,+3(36),,,,+1(114),,,,,+3(97),-10,,
336,,长沙学院,大练黄铜,3,328,+2(38),,,,+2(148),,,,,+1(102),-5,,
337,,西北师范大学,"""Please,give me a YinYin""",3,330,+1(22),,,,+2(81),,,,,+3(167),-6,,
338,,广东东软学院,沉默的骑士,3,331,+2(41),,,,+3(148),,-2,,,+1(82),-3,,
339,,南阳师范学院,拿我快速幂板子来,3,332,+2(153),,,,+1(80),,,,,+2(59),-16,,
340,,东北农业大学,禁用敏感词,3,334,+2(35),,,,+3(122),,,,,+2(97),-6,,
341,,南京航空航天大学,在ICPC寻求AC是否搞错了什么？,3,335,+2(50),-1,,,+4(91),,,-1,,+1(114),-5,,
342,,嘉应学院,从容打铁,3,338,+1(58),,,,+4(106),,,,,+1(114),-3,,
343,,上海大学,洞穴双头蛇队,3,344,+1(22),,,,+2(64),,,,,+6(138),-4,,
343,,南阳理工学院,你为什么退缩,3,344,+1(39),,,,+1(96),,,,,+2(189),-8,,
345,,西南科技大学,Endless,3,345,+1(33),-1,,,+3(112),,,,,+4(100),-17,,
346,,中国计量大学现代科技学院,找个班上,3,350,+1(29),,,,+5(110),,,,,+2(111),-1,,
346,,南华大学,雪公主和三个ACMer,3,350,+2(44),,,,+2(140),,,,,+2(106),-4,,
348,,北京师范大学珠海校区,无向指针,3,355,+3(33),,,-4,+2(71),,,,,+2(171),,,
349,,东北大学秦皇岛分校,下一站,3,356,+1(66),,,,+5(97),,,,,+2(93),-7,,-1
