Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
85,58,四川师范大学,宋沅泽带头冲锋,5,583,-1,-,+1(29),-,+1(261),-,+1(52),+2(113),-,-,-,-,+1(108),16%,Bronze,晋云涛,李俊霖,梁敏聪,N,N
86,,复旦大学,刻耳柏洛斯,5,591,+3(252),-,+1(21),-,-2,-,+1(30),+1(134),-,-2,-,-,+2(94),37%,Bronze,刘皓蓝,张宇琪,马成,N,N
87,59,西南交通大学,电灯泡心也会痛,5,593,-2,-,+1(29),-,-,-,+1(36),+2(92),-,+5(267),-,-,+1(69),50%,Bronze,徐梓航,赵一冰,郑欢庆,N,N
88,60,国防科技大学,蓝色空间号,5,653,+2(199),-,+3(88),-,-3,-,+1(56),+1(119),-,-2,-1,-,+1(131),37%,Bronze,朱卓锋,王荣航,董理,N,N
89,61,台州学院,沧浪之水,5,683,+2(223),-,+1(21),-,-6,-,+2(40),+1(107),-,-,-,-,+4(192),50%,Bronze,孙宇飞,林钰琳,陈景钧,N,N
90,,北京理工大学,去马车整点挂件,5,721,-5,-,+1(26),-,+6(284),-,+2(45),+3(146),-,-,-,-,+1(60),61%,Bronze,于瀚文,孙嘉珺,焦鹏屹,N,N
91,62,东北大学秦皇岛分校,小饼卷大葱,5,739,+3(260),-,+1(23),-,-3,-,+3(57),+1(77),-,-,-,-,+4(182),58%,Bronze,司伟业,李不凡,董淑睿,N,N
92,,华中科技大学,Astesia,5,764,+4(135),-,+1(21),-5,-,-,+1(18),+1(174),-,-,-1,-,+6(256),61%,Bronze,何佳林,喻珈,范彦廷,N,N
93,63,哈尔滨工业大学,啊对对对,5,767,-6,-,+1(20),-,+8(274),-,+2(38),+1(92),-,-,-,-,+4(123),68%,Bronze,姚震泉,平安,杨一凡,N,N
94,,浙江师范大学,三个铁酱,5,931,+5(293),-1,+1(32),-1,-1,-1,+1(52),+1(245),-1,-1,-1,-1,+3(189),54%,Bronze,王千予,谢思怡,陈靖毅,N,N
95,,东北大学秦皇岛分校,AC 快才是真的怪,4,201,-3,-,+1(27),-3,-,-,+1(36),+1(77),-,-,-,-,+1(61),0%,Bronze,吴政龙,张荆冬,祝向博,N,N
96,64,长沙理工大学,宝可梦之炼金术士,4,205,-3,-,+1(21),-,-,-,+1(32),+1(88),-,-,-,-,+1(64),0%,Bronze,刘帅,刘赟贲,胡洋,N,N
97,65,南京航空航天大学,在 CCPC 中寻求 AC 是否搞错了什么？,4,206,-2,-,+1(12),-,-,-,+2(41),+1(75),-,-,-,-,+1(58),20%,Bronze,岑嘉诚,李亚宁,钱品亦,N,N
98,,北京交通大学,凑不出一摩拉,4,213,-,-,+1(27),-,-4,-,+1(37),+1(79),-,-,-,-,+1(70),0%,Bronze,何昌鹏,杨纪升,许根瑞,N,N
99,66,南昌大学,摆烂猫猫,4,223,-,-,+1(22),-,-,-,+1(38),+1(73),-,-,-,-,+2(70),20%,Bronze,万钧,惠鹏程,蔡定中,N,N
100,67,三峡大学,三大一组,4,231,-2,-,+1(37),-,-,-,+1(28),+1(58),-,-,-,-,+1(108),0%,Bronze,李永波,颜立,鲍洋,N,N
101,68,中国传媒大学,定福庄好果汁株式会社,4,238,-,-,+1(23),-,-,-,+2(41),+1(58),-,-,-3,-,+1(96),20%,Bronze,兰淳枫,杨宇森,潘东逸杰,N,N
102,69,辽宁大学,宵待雨月,4,244,-1,-,+1(23),-4,-,-,+1(43),+1(75),-,-,-,-,+1(103),0%,Bronze,殷勇杰,洪梓炜,雷震宇,N,N
103,70,兰州大学,我真不会取名啊,4,250,-1,-,+1(35),-,-2,-,+1(25),+1(109),-,-,-,-,+1(81),0%,Bronze,张恩彬,曾志亮,连浩鸣,N,N
104,71,浙江理工大学,海超人大洋游侠和隐形船,4,252,-11,-,+1(20),-,-,-,+1(31),+2(107),-,-,-,-,+1(74),20%,Bronze,宁宇浩,王显龙,邱天,N,N
105,,北京邮电大学,MeUmy 天下第一,4,254,-4,-,+1(19),-,-,-,+1(23),+1(50),-,-1,-2,-,+2(142),20%,Bronze,张晏宁,祝梓毅,陈睿扬,N,N
106,72,浙江农林大学,翻斗幼儿园老年班,4,255,-,-,+1(26),-,-4,-,+1(35),+1(74),-,-,-,-,+1(120),0%,Bronze,杨成艺,章恒磊,郑懿,N,N
107,,上海交通大学,云影徘徊,4,260,-1,-,+1(24),-5,-6,-,+1(18),+1(66),-,-,-2,-,+4(92),42%,Bronze,曾子瑞,陈圣尧,陈烨炜,N,N
108,73,上海大学,月亮旁的小飞机,4,266,-4,-,+1(28),-,-,-,+1(19),+2(80),-,-,-,-,+1(119),20%,Bronze,刘元皓,金霆峰,高轩,N,N
109,,长春理工大学,长理 10086 队,4,285,-2,-,+1(22),-,-,-,+2(81),+2(23),-,-,-27,-,+1(119),33%,Bronze,刘万超,周璨,杜雨轩,N,N
110,,湖南大学,中部玄驹,4,294,-,-,+1(14),-,-4,-,+1(28),+2(52),-,-2,-,-,+2(160),33%,Bronze,刘佰幸,宋苏宇,张晨曦,N,N
111,74,同济大学,达拉崩吧班德贝迪卜多比鲁翁,4,297,-4,-,+1(39),-,-3,-,+1(46),+1(87),-,-,-1,-,+2(105),20%,Bronze,刘依扬,孙治弘,张乐天,N,N
112,75,成都东软学院,雪豹闭嘴,4,299,-5,-,+1(28),-,-,-,+1(36),+1(62),-,-,-,-,+2(153),20%,Bronze,廖华杰,李文瀚,王荣川,N,N
113,76,浙江财经大学,秃如其来,4,301,-1,-,+1(24),-,-,-,+1(35),+1(103),-,-,-1,-,+1(139),0%,Bronze,叶国钊,张垚垚,朱新宇,N,N
114,77,徐州工程学院,你就是歌姬,4,304,-3,-,+1(23),-,-,-,+1(30),+1(98),-,-,-,-,+1(153),0%,Bronze,于孝元,周子淳,张赏赏,N,N
115,78,齐鲁工业大学,三人一狗,4,309,-,-,+2(21),-,-,-,+1(31),+1(67),-,-,-,-,+1(170),20%,Bronze,吴泽彪,姜川,王励翔,N,N
